Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
Nick Markakis LF,156,612,73,181,38,1,3,53,230,70,83,2,.296,.370,.376,.746,1.9
Andrelton Simmons SS,147,535,60,142,23,2,4,44,181,39,48,5,.265,.321,.338,.660,4.0
Jace Peterson 2B,152,528,55,126,23,5,6,52,177,56,120,12,.239,.314,.335,.649,0.5
Cameron Maybin LF,141,505,65,135,18,2,10,59,187,45,102,23,.267,.327,.370,.697,0.6
Freddie Freeman 1B,118,416,62,115,27,0,18,66,196,56,98,3,.276,.370,.471,.841,3.4
A.J. Pierzynski C,113,407,38,122,24,1,9,49,175,19,37,0,.300,.339,.430,.769,1.6
Jonny Gomes LF *,83,195,27,43,7,0,7,22,71,28,67,1,.221,.325,.364,.689,-0.3
Adonis Garcia 3B,58,191,20,53,12,0,10,26,95,5,35,0,.277,.293,.497,.790,0.6
Kelly Johnson 2B *,62,182,20,50,5,0,9,34,82,13,43,1,.275,.321,.451,.772,0.0
Christian Bethancourt C,48,155,16,31,8,0,2,12,45,5,33,1,.200,.225,.290,.515,-0.1
Chris Johnson 3B *,56,153,12,36,7,0,2,11,49,7,49,2,.235,.272,.320,.592,-0.5
Juan Uribe 3B *,46,151,17,43,6,0,7,17,70,15,37,1,.285,.353,.464,.817,1.1
Pedro Ciriaco SS,84,142,14,37,8,1,1,15,50,2,38,4,.261,.275,.352,.627,0.3
Michael Bourn CF *,46,136,10,30,3,1,0,11,35,17,31,4,.221,.303,.257,.561,-0.3
Eury Perez CF,47,119,10,32,4,0,0,5,36,7,23,3,.269,.331,.303,.633,-0.1
Nick Swisher LF *,46,118,8,23,5,0,4,17,40,27,30,0,.195,.349,.339,.688,-0.5
Alberto Callaspo 2B *,37,107,12,22,2,0,1,8,27,14,10,0,.206,.293,.252,.545,-0.4
Daniel Castro SS,33,96,14,23,2,1,2,5,33,3,15,0,.240,.263,.344,.606,0.6
Todd Cunningham CF,39,86,13,19,4,0,0,4,23,5,17,2,.221,.280,.267,.547,0.3
Hector Olivera LF,24,79,4,20,4,1,2,11,32,5,12,0,.253,.310,.405,.715,0.2
Eric Young Jr. LF *,35,77,7,13,4,2,0,5,21,6,17,3,.169,.229,.273,.502,-0.4
Ryan Lavarnway C *,27,66,5,15,5,0,2,6,26,8,21,0,.227,.311,.394,.705,0.2
Shelby Miller RP,33,56,1,3,2,0,0,0,5,4,29,0,.054,.117,.089,.206,-0.3
Joey Terdoslavich 1B,28,56,5,12,4,1,1,4,21,3,14,0,.214,.254,.375,.629,0.1
Julio Teheran SP,33,52,0,5,0,0,0,2,5,2,9,0,.096,.130,.096,.226,-0.1
Phil Gosselin 2B *,20,40,2,13,4,0,0,2,17,2,5,2,.325,.357,.425,.782,0.2
Alex Wood SP *,20,33,1,5,1,0,0,4,6,3,21,0,.152,.222,.182,.404,0.1
Matt Wisler RP,21,29,0,4,0,0,0,1,4,2,6,0,.138,.194,.138,.331,0.0
Mike Foltynewicz SP,18,28,0,2,1,0,0,3,3,0,19,0,.071,.069,.107,.176,-0.2
Williams Perez RP,23,28,2,2,0,0,0,0,2,2,13,0,.071,.133,.071,.205,-0.1
Eric Stults SP,9,13,0,1,0,0,0,0,1,0,7,0,.077,.077,.077,.154,-0.1
Ryan Weber RP,5,10,0,0,0,0,0,0,0,0,8,0,.000,.000,.000,.000,-0.1
Sugar Ray Marimon P,16,6,0,2,0,0,0,0,2,1,3,0,.333,.429,.333,.762,0.1
Trevor Cahill SP *,15,5,0,1,0,0,0,0,1,0,2,0,.200,.200,.200,.400,0.0
Manny Banuelos RP,7,3,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,-0.1
David Aardsma RP,33,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Edwin Jackson SP *,24,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Ross Detwiler RP *,24,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Jake Brigham RP,12,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Andrew McKirahan RP,27,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Matt Marksberry RP,31,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Dan Winkler RP,2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Brandon Cunniff RP,39,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Ryan Kelly RP,17,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Jason Frasor RP *,6,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Donnie Veal RP,5,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
John Cornely RP,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
David Carpenter RP,4,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Dana Eveland RP,10,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Juan Jaime RP,2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Nick Masset RP *,20,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Peter Moylan RP,22,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Michael Kohn RP,6,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Danny Burawa RP *,12,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Luis Avilan RP *,50,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Arodys Vizcaino RP,36,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Cody Martin SP *,21,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Ian Thomas RP *,5,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Jim Johnson RP *,49,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Jason Grilli RP,36,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Total,162,5420,573,1361,251,18,100,548,1948,471,1107,69,.251,.314,.359,.674,
