,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2002,161,5495,708,1428,280,25,164,669,2250,558,1028,76,.260,.331,.409,.741,101
2003,162,5670,907,1608,321,31,235,872,2696,545,933,68,.284,.349,.475,.824,101
2004,162,5570,803,1503,304,37,178,767,2415,587,1158,86,.270,.343,.434,.777,96
2005,162,5486,769,1453,308,37,184,733,2387,534,1084,92,.265,.333,.435,.768,90
2006,162,5583,849,1510,312,26,222,818,2540,526,1169,52,.270,.337,.455,.791,79
2007,162,5689,810,1562,328,27,176,781,2472,534,1149,64,.275,.339,.435,.774,84
2008,162,5604,753,1514,316,33,130,721,2286,618,1023,58,.270,.345,.408,.753,72
2009,162,5539,735,1459,300,20,149,700,2246,602,1064,58,.263,.339,.405,.744,86
2010,162,5463,738,1411,312,25,139,699,2190,634,1140,63,.258,.339,.401,.740,91
2011,162,5528,641,1345,244,16,173,606,2140,504,1260,77,.243,.308,.387,.695,89
2012,162,5425,700,1341,263,30,149,660,2111,567,1289,101,.247,.320,.389,.709,94
2013,162,5441,688,1354,247,21,181,656,2186,542,1384,64,.249,.321,.402,.723,96
2014,162,5468,573,1316,240,22,123,545,1969,472,1369,95,.241,.305,.360,.665,79
2015,162,5420,573,1361,251,18,100,548,1948,471,1107,69,.251,.314,.359,.674,67
2016,161,5514,649,1404,295,27,122,615,2119,502,1240,75,.255,.321,.384,.705,68
2017,162,5584,732,1467,289,26,165,706,2303,474,1184,77,.263,.326,.412,.738,72
2018,162,5582,759,1433,314,29,175,717,2330,511,1290,90,.257,.324,.417,.742,90
2019,162,5560,855,1432,277,29,249,824,2514,619,1467,89,.258,.336,.452,.789,97
