Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
Jonathan Villar 2B,156,589,92,168,38,3,19,63,269,79,174,62,.285,.369,.457,.826,3.9
Chris Carter 1B,160,549,84,122,27,1,41,94,274,76,206,3,.222,.321,.499,.821,0.9
Ryan Braun RF,135,511,80,156,23,3,30,91,275,46,98,16,.305,.365,.538,.903,4.4
Scooter Gennett 2B,136,498,58,131,30,1,14,56,205,38,114,8,.263,.317,.412,.728,0.9
Hernan Perez 2B,123,404,50,110,18,3,13,56,173,18,94,34,.272,.302,.428,.730,2.0
Jonathan Lucroy C *,95,338,48,101,17,3,13,50,163,33,70,5,.299,.359,.482,.841,2.3
Kirk Nieuwenhuis LF,125,335,38,70,18,1,13,44,129,56,133,8,.209,.324,.385,.709,0.6
Aaron Hill 2B *,78,254,34,72,11,0,8,29,107,30,43,4,.283,.359,.421,.780,1.6
Ramon Flores LF,104,249,18,51,8,0,2,19,65,31,58,3,.205,.294,.261,.555,-1.4
Domingo Santana LF,77,246,34,63,14,0,11,32,110,32,91,2,.256,.345,.447,.792,-0.2
Martin Maldonado C,76,208,21,42,7,0,8,21,73,35,56,1,.202,.332,.351,.683,0.8
Keon Broxton CF,75,207,28,50,10,1,9,19,89,36,88,23,.242,.354,.430,.784,2.1
Orlando Arcia SS,55,201,21,44,10,3,4,17,72,15,47,8,.219,.273,.358,.631,-0.2
Alex Presley CF *,47,116,12,23,2,0,3,11,34,11,25,0,.198,.271,.293,.564,-0.8
Jake Elmore SS,59,78,7,17,2,0,0,4,19,17,17,2,.218,.371,.244,.615,-0.6
Manny Pina C,33,71,4,18,4,0,2,12,28,10,15,0,.254,.346,.394,.740,0.2
Yadiel Rivera 3B,35,66,12,14,4,0,0,3,18,2,20,0,.212,.235,.273,.508,-0.1
Zach Davies SP,28,53,2,5,0,0,0,1,5,1,22,0,.094,.111,.094,.205,-0.2
Jimmy Nelson SP,32,50,1,4,0,0,0,3,4,2,32,0,.080,.115,.080,.195,-0.3
Colin Walsh 2B,38,47,4,4,1,0,0,2,5,15,22,0,.085,.317,.106,.424,-0.4
Chase Anderson SP,31,45,3,4,0,0,0,1,4,1,27,0,.089,.128,.089,.217,-0.2
Wily Peralta RP,23,39,2,5,1,0,1,6,9,0,15,0,.128,.125,.231,.356,-0.1
Junior Guerra RP,20,35,2,8,2,0,0,0,10,0,13,0,.229,.229,.286,.514,0.2
Matt Garza SP,19,28,1,1,0,0,0,0,1,2,17,0,.036,.100,.036,.136,-0.3
Will Middlebrooks 3B,10,27,2,3,0,0,0,1,3,4,13,0,.111,.226,.111,.337,0.0
Andy Robert Wilkins 1B,26,24,3,3,1,0,1,3,7,3,10,1,.125,.222,.292,.514,-0.2
Michael Reed CF,8,22,3,4,0,0,0,0,4,2,7,1,.182,.250,.182,.432,0.1
Andrew Susac C,9,17,3,4,1,0,1,2,8,2,5,0,.235,.316,.471,.786,0.1
Taylor Jungmann RP,8,8,1,1,0,0,0,0,1,0,4,0,.125,.125,.125,.250,0.0
Josmil Pinto C,6,5,1,0,0,0,0,0,0,1,4,0,.000,.167,.000,.167,-0.1
Tyler Cravy RP,20,4,1,1,0,0,1,1,4,0,1,0,.250,.250,1.000,1.250,0.2
Jhan Marinez RP *,43,3,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Brent Suter SP,14,2,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Blaine Boyer RP,61,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Tyler Thornburg RP,67,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Carlos Torres RP,72,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Ariel Pena RP,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
David Goforth SP,10,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Jacob Barnes RP,27,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Rob Scahill RP *,16,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Damien Magnifico RP,3,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Corey Knebel RP,35,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Will Smith RP *,27,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Sam Freeman RP,7,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Michael Blazek RP,42,0,1,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Chris Capuano RP,16,0,0,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000,0.1
Ben Rowen RP,4,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Jeremy Jeffress RP *,47,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Michael Kirkman RP *,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Neil Ramirez RP *,2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Total,162,5330,671,1299,249,19,194,641,2168,599,1543,181,.244,.322,.407,.729,
