,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,Wins
2002,162,5415,627,1369,269,29,139,597,2113,500,1125,94,.253,.320,.390,.711,56
2003,162,5548,714,1423,266,24,196,685,2325,547,1221,99,.256,.329,.419,.748,68
2004,161,5483,634,1358,295,32,135,601,2122,540,1312,138,.248,.321,.387,.708,67
2005,162,5448,726,1413,327,19,175,689,2303,531,1162,79,.259,.331,.423,.754,81
2006,162,5433,730,1400,301,20,180,695,2281,502,1233,71,.258,.327,.420,.747,75
2007,162,5554,801,1455,310,37,231,774,2532,501,1137,96,.262,.329,.456,.785,83
2008,162,5535,750,1398,324,35,198,722,2386,550,1203,108,.253,.325,.431,.757,90
2009,162,5510,785,1447,281,37,182,757,2348,610,1231,68,.263,.341,.426,.767,80
2010,162,5606,750,1471,293,33,182,710,2376,546,1216,81,.262,.335,.424,.759,77
2011,162,5447,721,1422,276,31,185,693,2315,481,1083,94,.261,.325,.425,.750,96
2012,162,5557,776,1442,300,39,202,741,2426,466,1240,158,.259,.325,.437,.762,83
2013,162,5474,640,1381,238,43,157,610,2176,407,1183,142,.252,.311,.398,.708,74
2014,162,5462,650,1366,297,28,150,617,2169,423,1197,102,.250,.311,.397,.708,82
2015,162,5480,655,1378,274,34,145,624,2155,412,1299,84,.251,.307,.393,.700,68
2016,162,5330,671,1299,249,19,194,641,2168,599,1543,181,.244,.322,.407,.729,73
2017,162,5467,732,1363,267,22,224,695,2346,547,1571,128,.249,.322,.429,.751,86
2018,163,5542,754,1398,252,24,218,711,2352,537,1458,124,.252,.323,.424,.747,96
2019,162,5542,769,1366,279,17,250,744,2429,629,1563,101,.246,.329,.438,.767,89
