Name,Fernando Vina 2B,Albert Pujols 1B,Edgar Renteria SS,Tino Martinez 1B,Jim Edmonds CF,J.D. Drew RF,Eli Marrero LF,Placido Polanco 3B *,Mike Matheny C,Scott Rolen 3B *,Miguel Cairo 1B,Kerry Robinson CF,Mike DiFelice C,Eduardo Perez DH,Matt Morris SP,Jason Simontacchi SP,Andy Benes SP,Woody Williams SP,Chuck Finley SP *,Darryl Kile SP,Wilson Delgado SS,Travis Smith RP,Luther Hackman RP,So Taguchi OF,Bud Smith RP,Ivan Cruz 1B,Mike Coolbaugh 3B,Garrett Stephenson SP,Mike Matthews RP *,Mike Timlin RP *,Jamey Wright RP *,Josh Pearce RP,Dave Veres RP,Mike Crudale RP,Gene Stechschulte RP,Nerio Rodriguez RP *,Rick White RP *,Steve Kline RP,Jose Rodriguez RP *,Gabe Molina RP,Jason Isringhausen RP,Kevin Joseph RP,Matt Duff RP,Jeff Fassero RP *,Total
GP,150,157,152,150,144,135,131,94,110,55,108,124,70,96,32,25,19,18,14,14,12,12,43,19,11,17,5,12,43,42,4,3,71,49,29,2,20,66,2,12,60,11,7,16,162
AB,622,590,544,511,476,424,397,342,315,205,184,181,174,154,71,50,34,29,28,22,20,18,16,15,14,14,12,12,6,6,5,4,3,2,2,1,1,1,0,0,0,0,0,0,5505
R,75,118,77,63,96,61,63,47,31,37,28,27,17,22,4,5,3,3,2,0,2,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,787
H,168,185,166,134,148,107,104,97,77,57,46,47,40,31,12,12,7,6,3,2,4,3,1,6,3,5,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1475
2B,29,40,36,25,31,19,19,19,12,8,9,7,11,9,3,0,1,3,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285
3B,5,2,2,1,2,1,1,1,1,4,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
HR,1,34,11,21,28,18,18,5,3,14,2,1,4,10,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175
RBI,54,127,83,75,83,56,66,27,35,44,23,15,19,26,3,2,2,3,1,0,5,2,0,2,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,758
TB,210,331,239,224,267,182,179,133,100,115,65,65,63,70,15,12,11,12,4,2,12,3,1,6,4,8,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2337
BB,44,72,49,58,86,57,40,12,32,20,13,11,17,17,3,2,1,0,0,1,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542
SO,36,69,57,71,134,104,72,27,49,34,36,29,42,36,23,15,9,9,12,9,6,6,6,1,4,3,3,8,4,4,3,0,1,1,2,1,1,0,0,0,0,0,0,0,927
SB,17,2,22,3,4,8,14,3,1,3,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
AVG,.270,.314,.305,.262,.311,.252,.262,.284,.244,.278,.250,.260,.230,.201,.169,.240,.206,.207,.107,.091,.200,.167,.063,.400,.214,.357,.083,.000,.167,.000,.000,.250,.333,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.268
OBP,.333,.394,.364,.337,.420,.349,.327,.316,.313,.354,.307,.301,.297,.290,.203,.269,.229,.226,.107,.130,.200,.167,.118,.471,.267,.400,.154,.077,.167,.000,.000,.250,.333,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.338
SLG,.338,.561,.439,.438,.561,.429,.451,.389,.317,.561,.353,.359,.362,.455,.211,.240,.324,.414,.143,.091,.600,.167,.063,.400,.286,.571,.083,.000,.167,.000,.000,.250,.333,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.425
OPS,.670,.955,.803,.776,.981,.778,.777,.705,.630,.915,.660,.660,.660,.744,.414,.509,.552,.640,.250,.221,.800,.333,.180,.871,.552,.971,.237,.077,.333,.000,.000,.500,.667,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.763
WAR,0.4,5.2,4.0,1.1,6.5,2.6,1.5,1.1,0.6,2.7,-0.2,0.1,0.0,0.3,0.1,0.4,0.3,0.3,-0.1,-0.1,-0.1,-0.1,-0.1,0.3,0.1,0.1,-0.2,-0.1,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
