Name,Albert Pujols 1B,Edgar Renteria SS,Scott Rolen 3B,Tino Martinez 1B,Jim Edmonds CF,Mike Matheny C,Orlando Palmeiro LF,Bo Hart 2B,J.D. Drew RF,Miguel Cairo 1B,Fernando Vina 2B,Eduardo Perez DH,Kerry Robinson CF,Eli Marrero LF,Chris Widger C,Wilson Delgado SS *,Woody Williams SP,Brett Tomko SP,So Taguchi OF,Matt Morris SP,Garrett Stephenson SP,Jason Simontacchi SP,Dan Haren SP,Joe Girardi C,Sterling Hitchcock RP *,Jeff Fassero RP,Kiko Calero RP,Cal Eldred RP,Jason Isringhausen RP,Steve Kline RP,Kevin Ohme RP,Esteban Yan RP *,Russ Springer RP,Lance Painter RP,Jason Pearson RP,Gabe Molina RP,Josh Pearce RP,Dustin Hermanson RP *,Jimmy Journell RP,Mike Crudale RP *,Mike DeJean RP *,Pedro Jr. Borbon RP,Total
GP,157,157,154,138,137,141,141,77,100,92,61,105,116,41,44,43,34,35,43,27,32,48,15,16,8,62,26,63,40,78,2,39,17,22,2,3,7,23,7,13,18,7,162
AB,591,587,559,476,447,441,317,296,287,261,259,253,208,107,102,77,70,63,54,52,44,38,25,23,12,9,4,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,5672
R,137,96,98,66,89,43,37,46,60,41,35,47,19,10,9,8,12,4,9,5,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,876
H,212,194,160,130,123,111,86,82,83,64,65,72,52,24,24,13,17,18,14,10,9,5,2,3,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1580
2B,51,47,49,25,32,18,13,13,13,15,14,16,6,4,9,3,4,1,3,2,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,342
3B,1,1,1,2,2,2,1,5,3,2,4,0,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,32
HR,43,13,28,15,39,8,3,4,15,5,4,11,1,2,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196
RBI,124,100,104,69,89,47,33,28,42,32,23,41,16,20,14,3,7,9,13,3,2,0,1,1,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,827
TB,394,282,295,204,276,157,110,117,147,98,99,121,67,38,33,16,26,19,28,15,9,6,4,3,1,0,1,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,2574
BB,79,65,82,53,77,44,32,12,36,13,11,29,8,7,6,3,5,4,4,2,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,580
SO,65,54,104,71,127,81,31,64,48,30,24,53,27,18,20,10,26,15,11,16,18,14,10,4,5,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,952
SB,5,34,13,1,1,1,3,3,2,4,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
AVG,.359,.330,.286,.273,.275,.252,.271,.277,.289,.245,.251,.285,.250,.224,.235,.169,.243,.286,.259,.192,.205,.132,.080,.130,.083,.000,.250,.500,.500,.500,1.000,1.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.279
OBP,.439,.394,.382,.352,.385,.320,.336,.317,.374,.289,.309,.365,.281,.267,.279,.207,.299,.328,.310,.222,.271,.132,.148,.231,.083,.000,.250,.500,.500,.500,1.000,1.000,.000,.000,.000,.000,.000,1.000,.000,.000,.000,.000,.350
SLG,.667,.480,.528,.429,.617,.356,.347,.395,.512,.375,.382,.478,.322,.355,.324,.208,.371,.302,.519,.288,.205,.158,.160,.130,.083,.000,.250,.500,1.500,1.000,1.000,1.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.454
OPS,1.106,.874,.910,.781,1.002,.676,.683,.713,.886,.665,.691,.843,.603,.622,.603,.415,.670,.630,.829,.511,.475,.289,.308,.361,.167,.000,.500,1.000,2.000,1.500,2.000,2.000,.000,.000,.000,.000,.000,1.000,.000,.000,.000,.000,.804
WAR,8.4,5.3,4.4,0.7,5.8,-0.1,-0.6,0.9,2.4,-0.1,-0.6,0.3,-1.0,-0.1,0.0,-0.6,1.1,0.7,0.3,0.8,0.2,-0.1,-0.1,-0.4,-0.1,-0.2,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
