Name,Albert Pujols 1B,Edgar Renteria SS,Tony Womack 2B,Scott Rolen 3B,Jim Edmonds CF,Reggie Sanders RF,Mike Matheny C,Marlon Anderson LF,John Mabry 1B,Roger Cedeno LF,Ray Lankford LF,So Taguchi OF,Hector Luna 1B,Larry Walker RF *,Yadier Molina C,Cody McKay C,Jason Marquis SP,Chris Carpenter SP,Matt Morris SP,Woody Williams SP,Jeff Suppan SP,Colin Porter OF,Bo Hart 2B,Dan Haren SP,Cal Eldred RP,Jason Isringhausen RP,Ray King RP,Randy Flores RP,Jason Simontacchi SP,Kiko Calero RP,Al Reyes RP,Rick Ankiel CF,Julian Tavarez RP,Josh Pearce RP,Carmen Cali RP,Steve Kline RP,Mike Lincoln RP,Total
GP,154,149,145,142,153,135,122,113,87,95,92,109,83,44,51,35,35,28,32,34,31,23,11,14,52,74,86,9,15,41,12,5,77,3,10,67,13,162
AB,592,586,553,500,498,446,385,253,240,200,200,179,173,150,135,74,72,62,62,61,57,35,13,12,5,3,2,2,2,1,1,1,0,0,0,0,0,5555
R,133,84,91,109,102,64,28,31,32,22,36,26,25,29,12,7,6,1,4,3,3,3,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,855
H,196,168,170,157,150,116,95,60,71,53,51,52,43,42,36,17,21,5,10,11,4,11,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1544
2B,51,37,22,32,38,27,22,12,11,9,14,10,7,7,6,2,6,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319
3B,2,0,3,4,3,3,1,0,0,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
HR,46,10,5,34,42,22,5,8,13,3,6,3,3,11,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214
RBI,123,72,38,124,111,67,50,28,40,23,22,25,22,27,15,6,9,1,6,2,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,817
TB,389,235,213,299,320,215,134,96,121,75,85,75,63,84,48,19,27,5,11,15,4,15,2,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2553
BB,84,39,36,72,101,33,23,12,26,19,29,12,13,24,13,2,1,1,4,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,548
SO,52,78,60,92,150,118,83,38,63,41,55,23,37,34,20,14,17,21,26,22,11,13,3,6,3,2,0,1,0,1,0,1,0,0,0,0,0,1085
SB,5,17,26,4,8,21,0,6,0,5,2,6,6,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111
AVG,.331,.287,.307,.314,.301,.260,.247,.237,.296,.265,.255,.291,.249,.280,.267,.230,.292,.081,.161,.180,.070,.314,.154,.000,.000,.333,.000,.000,.500,.000,1.000,.000,.000,.000,.000,.000,.000,.278
OBP,.415,.327,.349,.409,.418,.315,.292,.269,.363,.327,.349,.337,.304,.393,.329,.269,.297,.095,.209,.200,.086,.314,.214,.000,.000,.333,.000,.000,.500,.000,1.000,.500,.000,.000,.000,.000,.000,.344
SLG,.657,.401,.385,.598,.643,.482,.348,.379,.504,.375,.425,.419,.364,.560,.356,.257,.375,.081,.177,.246,.070,.429,.154,.000,.000,.333,.000,.000,.500,.000,1.000,.000,.000,.000,.000,.000,.000,.460
OPS,1.072,.728,.735,1.007,1.061,.797,.640,.649,.867,.702,.774,.756,.668,.953,.684,.526,.672,.176,.386,.446,.156,.743,.368,.000,.000,.667,.000,.000,1.000,.000,2.000,.500,.000,.000,.000,.000,.000,.804
WAR,8.3,1.8,3.0,8.9,7.0,1.2,-0.6,-0.9,-0.2,-0.4,0.3,0.1,-0.2,0.9,0.3,-0.4,0.8,-0.4,0.2,0.2,-0.4,0.2,0.1,-0.1,-0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,
