Name,David Eckstein 2B,Albert Pujols 1B,Mark Grudzielanek 2B,Jim Edmonds CF,Abraham Nunez 2B,So Taguchi OF,Yadier Molina C,Larry Walker RF,Reggie Sanders RF,John Mabry 1B,Scott Rolen 3B,John Rodriguez LF,Hector Luna 1B,Einar Diaz C,Scott Seabol 3B,Jason Marquis SP,Chris Carpenter SP,Mike Mahoney C,Mark Mulder SP,Jeff Suppan SP,Roger Cedeno LF,Matt Morris SP,John Gall RF,Skip Schumaker 2B,Chris Duncan LF,Brad Thompson RP,Anthony Reyes RP,Cal Eldred RP,Al Reyes RP,Randy Flores RP,Julian Tavarez RP,Gabe White RP,Kevin Jarvis RP,Jason Isringhausen RP,Adam Wainwright SP,Carmen Cali RP,Jimmy Journell RP,Ray King RP,Tyler Johnson RP,Bill Pulsipher RP,Total
GP,158,161,137,142,139,143,114,100,93,112,56,56,64,58,59,44,33,26,32,32,37,31,22,27,9,41,4,31,65,50,74,6,4,63,3,6,5,77,5,5,162
AB,630,591,528,467,421,396,385,315,295,246,196,149,137,130,105,87,77,64,62,58,57,57,37,24,10,6,4,2,1,1,0,0,0,0,0,0,0,0,0,0,5538
R,90,129,64,88,64,45,36,66,49,26,28,15,26,14,11,10,7,5,3,5,4,4,5,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,805
H,185,195,155,123,120,114,97,91,80,59,46,44,39,27,23,27,5,10,9,12,9,5,10,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1494
2B,26,38,30,37,13,21,15,20,14,15,12,6,10,6,5,8,2,1,0,2,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287
3B,7,2,3,1,2,2,1,1,2,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
HR,8,41,8,29,5,8,8,15,21,8,5,5,1,1,1,1,0,1,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170
RBI,61,117,59,89,44,53,49,52,54,32,28,24,18,17,10,10,2,6,3,5,8,2,10,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,757
TB,249,360,215,249,152,163,138,158,161,100,75,65,56,36,31,40,7,14,9,17,10,5,19,7,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2343
BB,58,97,26,91,37,20,23,41,28,20,25,19,9,5,8,2,5,4,3,3,2,4,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,534
SO,44,65,81,139,63,62,30,64,75,63,28,45,25,12,23,11,23,10,25,9,6,23,8,2,5,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,947
SB,11,16,8,5,0,11,2,2,14,0,1,2,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83
AVG,.294,.330,.294,.263,.285,.288,.252,.289,.271,.240,.235,.295,.285,.208,.219,.310,.065,.156,.145,.207,.158,.088,.270,.250,.200,.167,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.270
OBP,.363,.430,.334,.385,.343,.322,.295,.384,.340,.295,.323,.382,.344,.248,.272,.326,.120,.217,.182,.246,.197,.148,.282,.308,.200,.167,.000,.000,.500,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.339
SLG,.395,.609,.407,.533,.361,.412,.358,.502,.546,.407,.383,.436,.409,.277,.295,.460,.091,.219,.145,.293,.175,.088,.514,.292,.600,.167,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.423
OPS,.758,1.039,.741,.918,.704,.734,.654,.886,.886,.701,.706,.818,.753,.525,.567,.786,.211,.436,.327,.539,.372,.235,.796,.599,.800,.333,.000,.000,.500,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.762
WAR,2.7,8.2,3.9,4.2,2.1,0.9,1.3,2.2,1.9,-0.5,1.5,0.2,0.7,-0.8,-0.6,1.4,-0.3,-0.4,-0.1,0.5,-1.1,-0.2,0.1,0.0,0.0,0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
