Name,Juan Encarnacion RF,Albert Pujols 1B,Scott Rolen 3B,David Eckstein 2B,Aaron Miles 2B,Yadier Molina C,Jim Edmonds CF,So Taguchi OF,Chris Duncan LF,Scott Spiezio 3B,Hector Luna 1B *,Ronnie Belliard 2B *,John Rodriguez LF,Gary Bennett C,Preston Wilson RF *,Jason Marquis SP,Chris Carpenter SP,Jeff Suppan SP,Skip Schumaker 2B,Timo Perez LF,Jeff Weaver RP *,Mark Mulder SP,Anthony Reyes RP,Larry Bigbie LF,Jose Vizcaino SS *,Sidney Ponson SP *,John Gall RF,Mike Rose C,Josh Hancock RP,Adam Wainwright SP,John Nelson SS,Jorge Sosa RP *,Braden Looper RP,Brad Thompson RP,Chris Narveson RP,Tyler Johnson RP,Brian Falkenborg RP,Ricardo Rincon RP,Jason Isringhausen RP,Josh Kinney RP,Randy Flores RP,Total
GP,153,143,142,123,135,129,110,134,90,119,76,54,102,60,33,46,32,32,28,23,17,17,18,17,16,14,8,10,62,61,8,19,69,43,5,56,5,5,59,21,65,161
AB,557,535,521,500,426,417,350,316,280,276,223,194,183,157,111,78,71,55,54,31,27,25,25,25,23,13,12,9,6,6,5,4,2,2,1,1,1,0,0,0,0,5522
R,74,119,94,68,48,29,52,46,60,44,27,20,31,13,18,8,2,4,3,3,1,5,1,2,3,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,781
H,155,177,154,146,112,90,90,84,82,75,65,46,55,35,27,14,9,12,10,6,3,7,3,6,8,3,3,2,0,3,0,0,1,1,0,0,0,0,0,0,0,1484
2B,25,33,48,18,20,26,18,19,11,15,14,9,12,5,3,4,0,1,1,1,1,2,0,1,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,292
3B,5,1,1,1,5,0,0,1,3,4,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
HR,19,49,22,2,2,6,19,2,22,13,4,5,2,4,8,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,184
RBI,79,137,95,23,30,49,70,31,43,52,21,23,19,22,17,5,2,6,2,3,3,5,0,1,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,745
TB,247,359,270,172,148,134,165,111,165,137,93,72,79,52,54,20,9,13,14,10,4,12,3,7,14,3,3,2,0,7,0,0,2,1,0,0,0,0,0,0,0,2382
BB,30,92,56,31,38,26,53,32,30,37,21,15,21,11,7,2,0,5,5,3,3,5,0,3,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,531
SO,86,50,69,41,42,41,101,48,69,66,34,36,45,30,27,14,27,11,6,4,12,8,10,9,4,6,5,4,6,0,4,3,0,1,1,1,1,0,0,0,0,922
SB,6,7,7,7,2,1,4,11,0,1,5,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
AVG,.278,.331,.296,.292,.263,.216,.257,.266,.293,.272,.291,.237,.301,.223,.243,.179,.127,.218,.185,.194,.111,.280,.120,.240,.348,.231,.250,.222,.000,.500,.000,.000,.500,.500,.000,.000,.000,.000,.000,.000,.000,.269
OBP,.317,.431,.369,.350,.324,.274,.350,.335,.363,.366,.355,.295,.374,.274,.300,.210,.127,.295,.254,.286,.200,.400,.120,.321,.375,.375,.250,.222,.143,.500,.000,.000,.500,.500,.000,.000,.000,.000,.000,.000,.000,.337
SLG,.443,.671,.518,.344,.347,.321,.471,.351,.589,.496,.417,.371,.432,.331,.486,.256,.127,.236,.259,.323,.148,.480,.120,.280,.609,.231,.250,.222,.000,1.167,.000,.000,1.000,.500,.000,.000,.000,.000,.000,.000,.000,.431
OPS,.760,1.102,.887,.694,.672,.595,.822,.686,.952,.862,.772,.666,.806,.605,.786,.466,.254,.531,.513,.608,.348,.880,.240,.601,.984,.606,.500,.444,.143,1.667,.000,.000,1.500,1.000,.000,.000,.000,.000,.000,.000,.000,.769
WAR,0.8,8.2,5.6,1.5,-0.3,-0.3,1.1,0.6,1.7,1.5,0.7,0.1,0.4,-0.2,0.5,0.5,-0.2,0.5,-0.4,-0.2,0.0,0.6,-0.2,-0.1,0.3,0.2,-0.1,-0.1,-0.1,0.3,-0.2,-0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
