Name,Albert Pujols 1B,David Eckstein 2B,Aaron Miles 2B,Scott Rolen 3B,Chris Duncan LF,Jim Edmonds CF,Yadier Molina C,So Taguchi OF,Ryan Ludwick LF,Juan Encarnacion RF,Adam Kennedy 3B,Scott Spiezio 3B,Brendan Ryan SS,Skip Schumaker 2B,Rick Ankiel CF,Gary Bennett C,Kelly Stinnett C,Miguel Cairo 1B *,Preston Wilson RF,Adam Wainwright SP,Braden Looper RP,Kip Wells SP,Russell Branyan 1B *,Anthony Reyes RP,Brad Thompson RP,Brian Barden 3B *,Joel Pineiro SP *,Todd Wellemeyer RP *,Mike Maroth SP *,Randy Keisler RP,Troy Percival RP,Mark Mulder SP,Kelvin Jimenez RP,Ryan Franklin RP,Josh Hancock RP,Chris Carpenter SP,Russ Springer RP,Troy Cate RP,Randy Flores RP,Brian Falkenborg RP,Dennis Dove RP,Jason Isringhausen RP,Tyler Johnson RP,Brian Esposito C,Andy Cavazos RP,Total
GP,158,117,133,112,127,117,111,130,120,78,87,82,67,88,47,59,26,28,25,37,31,35,21,27,45,15,14,20,15,4,34,3,34,69,8,1,76,14,70,16,3,63,55,1,17,162
AB,565,434,414,392,375,365,353,307,303,283,279,223,180,177,172,155,82,67,64,62,53,53,32,26,24,23,18,16,10,6,4,2,2,2,1,1,1,1,1,1,0,0,0,0,0,5529
R,99,58,55,55,51,39,30,48,42,43,27,31,30,19,31,12,7,8,6,4,6,7,4,1,1,6,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725
H,185,134,120,104,97,92,97,89,81,80,61,60,52,59,49,39,13,17,14,18,10,17,6,2,4,5,1,2,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1513
2B,38,23,16,24,20,15,15,15,22,17,9,14,9,12,8,7,3,2,3,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279
3B,1,0,1,2,0,2,0,0,0,1,1,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
HR,32,3,2,8,21,12,6,3,14,9,3,4,4,2,11,2,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141
RBI,103,31,32,58,70,53,40,30,52,47,18,31,12,19,39,17,5,5,5,6,6,5,2,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,690
TB,321,166,144,156,180,147,130,113,145,126,81,86,73,81,92,52,19,23,20,24,12,21,9,2,4,6,1,2,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2241
BB,99,24,25,37,55,41,34,23,26,18,22,27,15,8,13,8,5,3,4,3,4,0,7,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,506
SO,58,22,40,56,123,75,43,32,72,43,33,40,19,20,41,16,22,5,17,18,19,19,15,10,11,4,13,9,1,2,4,1,2,1,0,0,1,0,1,1,0,0,0,0,0,909
SB,2,10,2,5,2,0,1,7,4,2,6,0,7,1,1,1,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56
AVG,.327,.309,.290,.265,.259,.252,.275,.290,.267,.283,.219,.269,.289,.333,.285,.252,.159,.254,.219,.290,.189,.321,.188,.077,.167,.217,.056,.125,.200,.167,.000,.500,.000,.500,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.274
OBP,.429,.356,.328,.331,.354,.325,.340,.350,.339,.324,.282,.354,.347,.358,.328,.286,.207,.296,.265,.323,.259,.321,.333,.077,.167,.280,.150,.125,.200,.167,.000,.500,.333,.500,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.337
SLG,.568,.382,.348,.398,.480,.403,.368,.368,.479,.445,.290,.386,.406,.458,.535,.335,.232,.343,.313,.387,.226,.396,.281,.077,.167,.261,.056,.125,.200,.167,.000,.500,.000,.500,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.405
OPS,.997,.739,.676,.729,.834,.728,.708,.718,.818,.769,.572,.740,.752,.816,.863,.621,.439,.639,.577,.710,.485,.717,.615,.154,.333,.541,.206,.250,.400,.333,.000,1.000,.333,1.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.743
WAR,8.5,0.7,-0.1,1.6,1.3,0.1,1.9,-0.2,1.4,0.0,-1.5,-0.2,1.5,0.6,1.1,-0.8,-0.8,0.2,0.0,0.8,0.3,0.6,0.1,-0.3,0.0,0.2,-0.1,-0.1,0.1,0.1,-0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
