Name,Troy Glaus 1B,Skip Schumaker 2B,Ryan Ludwick LF,Albert Pujols 1B,Yadier Molina C,Cesar Izturis SS,Rick Ankiel CF,Aaron Miles 2B,Adam Kennedy 3B,Chris Duncan LF,Brendan Ryan SS,Jason LaRue C,Felipe Lopez 2B *,Brian Barton LF,Joe Mather LF,Braden Looper RP,Kyle Lohse SP,Adam Wainwright SP,Todd Wellemeyer RP,Nick Stavinoha RF,Joel Pineiro SP,Josh Phelps 1B,Rico Washington 3B,Mark Johnson C,Brad Thompson RP,Brian Barden 3B,Mitchell Boggs RP,Kyle McClellan RP,Chris Carpenter SP,Michael Parisi SP,Kelvin Jimenez RP,Jason Isringhausen RP,Mark Worrell RP,Jaime Garcia SP,Chris Perez RP,Anthony Reyes RP *,Ron Villone RP,Mark Mulder SP,Jason Motte RP,Josh Kinney RP,Ryan Franklin RP,Russ Springer RP,Randy Flores RP,Total
GP,151,153,152,148,124,135,120,134,115,76,80,61,43,82,54,42,33,25,33,29,31,19,14,10,26,9,8,68,4,12,15,42,4,10,41,10,74,3,12,7,74,70,43,162
AB,544,540,538,524,444,414,413,379,339,222,197,164,156,153,133,63,63,60,58,57,51,34,19,17,12,9,8,5,5,4,3,2,2,1,1,1,1,0,0,0,0,0,0,5636
R,69,87,104,100,37,50,65,49,42,26,30,17,30,23,20,5,1,5,2,4,3,4,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,779
H,147,163,161,187,135,109,109,120,95,55,48,35,60,41,32,16,7,16,9,11,5,9,3,5,3,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1585
2B,33,22,40,44,18,10,21,15,17,8,9,8,8,9,7,3,1,2,0,1,3,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,283
3B,1,5,3,0,0,3,2,2,4,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
HR,27,8,37,37,7,1,25,4,2,6,0,4,4,2,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,174
RBI,99,46,113,116,56,24,71,31,36,27,10,21,21,13,18,4,5,6,5,4,4,1,3,2,2,1,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,744
TB,263,219,318,342,174,128,209,151,126,81,57,57,84,60,63,21,8,21,9,12,8,10,5,5,3,2,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,2442
BB,87,47,62,104,32,29,42,23,21,34,16,15,11,19,12,4,0,2,1,2,3,2,3,1,2,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,577
SO,104,60,146,54,29,26,100,37,43,52,31,20,28,39,32,21,20,20,29,11,35,11,6,2,6,4,5,4,3,1,1,1,0,1,1,1,1,0,0,0,0,0,0,985
SB,0,8,4,7,0,24,2,3,7,2,7,0,4,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73
AVG,.270,.302,.299,.357,.304,.263,.264,.317,.280,.248,.244,.213,.385,.268,.241,.254,.111,.267,.155,.193,.098,.265,.158,.294,.250,.222,.000,.000,.000,.250,.000,.000,.500,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.281
OBP,.372,.359,.375,.462,.349,.319,.337,.355,.321,.346,.307,.296,.426,.354,.306,.299,.111,.286,.167,.217,.148,.306,.273,.333,.357,.222,.000,.000,.000,.250,.000,.000,.500,.667,.000,.500,.000,.000,.000,.000,.000,.000,.000,.350
SLG,.483,.406,.591,.653,.392,.309,.506,.398,.372,.365,.289,.348,.538,.392,.474,.333,.127,.350,.155,.211,.157,.294,.263,.294,.250,.222,.000,.000,.000,.500,.000,.000,2.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.433
OPS,.856,.765,.966,1.114,.740,.628,.843,.753,.692,.711,.596,.643,.964,.746,.780,.632,.238,.636,.322,.427,.305,.600,.536,.627,.607,.444,.000,.000,.000,.750,.000,.000,2.500,.667,.000,.500,.000,.000,.000,.000,.000,.000,.000,.783
WAR,4.2,1.7,5.3,9.0,1.2,1.6,1.8,2.1,2.4,0.0,0.0,-0.2,1.4,0.5,0.6,0.7,-0.5,0.6,-0.2,-0.6,-0.2,-0.5,-0.3,-0.1,0.2,-0.1,-0.1,-0.1,-0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
