Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
Brandon Phillips 2B,153,584,78,161,30,5,20,98,261,44,75,25,.276,.329,.447,.776,2.5
Joey Votto 1B,131,469,82,151,38,1,25,84,266,70,106,4,.322,.414,.567,.981,4.6
Willy Taveras CF,102,404,56,97,11,2,1,15,115,18,58,25,.240,.275,.285,.559,-0.3
Jay Bruce LF,101,345,47,77,15,2,22,58,162,38,75,3,.223,.303,.470,.773,1.1
Laynce Nix RF,116,309,42,74,26,1,15,46,147,22,81,0,.239,.291,.476,.767,0.9
Jerry Hairston Jr. 3B *,86,307,47,78,18,1,8,27,122,21,46,7,.254,.305,.397,.703,0.2
Ramon Hernandez C,81,287,25,74,13,1,5,37,104,33,34,1,.258,.336,.362,.699,-1.0
Jonny Gomes LF,98,281,39,75,17,0,20,51,152,26,85,3,.267,.338,.541,.879,0.9
Paul Janish SS,90,256,36,54,21,0,1,16,78,26,40,2,.211,.296,.305,.601,1.0
Chris Dickerson LF,97,255,31,70,13,3,2,15,95,39,66,11,.275,.370,.373,.743,1.1
Ryan Michael Hanigan C,90,251,22,66,6,1,3,11,83,37,31,0,.263,.361,.331,.692,0.8
Alex Gonzalez SS *,68,243,16,51,12,0,3,26,72,15,36,0,.210,.258,.296,.554,-1.3
Adam Rosales SS,87,230,23,49,10,1,4,19,73,26,46,1,.213,.303,.317,.620,-0.5
Drew Stubbs CF,42,180,27,48,5,1,8,17,79,15,49,10,.267,.323,.439,.762,1.2
Edwin Encarnacion DH *,43,139,10,29,6,1,5,16,52,24,38,1,.209,.333,.374,.707,-0.7
Scott Rolen 3B *,40,137,24,37,7,1,3,24,55,19,20,1,.270,.364,.401,.766,1.2
Wladimir Balentien LF *,40,110,12,29,7,1,3,11,47,15,27,1,.264,.352,.427,.779,0.7
Darnell McDonald LF,47,105,12,28,6,1,2,10,42,5,31,1,.267,.306,.400,.706,-0.4
Craig Tatum C,26,68,3,11,1,0,1,6,15,7,10,0,.162,.250,.221,.471,-0.2
Drew Sutton SS,42,66,10,14,4,1,1,9,23,7,20,0,.212,.297,.348,.646,-0.2
Bronson Arroyo SP,36,62,4,7,3,0,0,0,10,0,27,0,.113,.113,.161,.274,-0.4
Corky Miller C *,21,56,4,10,1,0,1,10,14,9,14,0,.179,.299,.250,.549,0.1
Micah Owings RP,41,54,7,14,4,1,3,10,29,1,19,0,.259,.281,.537,.818,0.8
Aaron Harang SP,26,47,1,7,1,0,1,6,11,1,12,0,.149,.167,.234,.401,0.0
Johnny Cueto SP,30,46,5,6,0,0,0,1,6,3,17,0,.130,.184,.130,.314,0.0
Homer Bailey SP,22,38,0,3,0,0,0,2,3,0,17,0,.079,.079,.079,.158,-0.4
Kevin Barker 1B,29,32,2,9,3,0,0,3,12,3,9,0,.281,.333,.375,.708,-0.1
Justin Lehr SP,11,22,1,2,1,0,0,1,3,1,8,0,.091,.130,.136,.267,0.1
Juan Francisco 3B,14,21,4,9,1,0,1,7,13,3,7,0,.429,.520,.619,1.139,0.5
Edinson Volquez SP,9,16,0,1,0,0,0,0,1,0,8,0,.063,.063,.063,.125,-0.2
Matt Maloney RP,8,12,1,3,0,0,0,0,3,1,5,0,.250,.308,.250,.558,0.1
Kip Wells SP *,10,11,1,1,0,0,0,0,1,0,4,0,.091,.091,.091,.182,-0.1
Danny Richar 2B,7,8,1,2,0,0,0,0,2,1,1,0,.250,.333,.250,.583,-0.2
Wilkin Castillo C,4,3,0,2,0,0,0,1,2,0,0,0,.667,.667,.667,1.333,0.0
Danny Herrera RP,70,2,0,0,0,0,0,0,0,1,1,0,.000,.333,.000,.333,0.0
Mike Lincoln RP,19,2,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,.000,0.0
Carlos Fisher RP,39,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Arthur Rhodes RP,66,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Nick Masset RP,74,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Jared Burton RP,53,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
David Weathers RP *,43,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Pedro Viola RP,9,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Josh Roenicke RP *,11,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Ramon A. Ramirez SP,11,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Robert Manuel RP,3,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Francisco Cordero RP,68,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Total,162,5462,673,1349,280,25,158,637,2153,531,1129,96,.247,.318,.394,.712,
