Name,Matt Holliday LF,Albert Pujols 1B,Skip Schumaker 2B,Yadier Molina C,Colby Rasmus LF,Brendan Ryan SS,Felipe Lopez 2B *,Jon Jay RF,Ryan Ludwick LF *,David Freese 1B,Randy Winn LF *,Aaron Miles 2B,Nick Stavinoha RF,Pedro Feliz 3B *,Allen Craig 1B,Tyler Greene SS,Adam Wainwright SP,Chris Carpenter SP,Joe Mather LF,Jason LaRue C,Jaime Garcia SP,Matt Pagnozzi C,Kyle Lohse SP,Daniel Descalso 2B,Bryan Anderson C,Jake Westbrook SP *,Jeff Suppan SP *,Brad Penny SP,Blake Hawksworth RP,Mark Hamilton 1B,P.J. Walters SP,Adam Ottavino RP,Steve Hill C,Ryan Franklin RP,Mitchell Boggs RP,Jason Motte RP,Kyle McClellan RP,Dennys Reyes RP,Trever Miller RP,Mike MacDougal RP,Evan Alan MacLane RP,Fernando Salas RP,Total
GP,158,159,137,136,144,139,109,105,77,70,87,79,79,40,44,44,37,35,36,29,31,15,21,11,15,12,15,9,45,9,7,6,1,59,61,56,68,59,57,17,2,27,162
AB,596,587,476,465,464,439,376,287,281,240,144,139,121,120,114,104,84,72,60,56,54,39,35,34,32,25,21,19,16,14,7,6,3,3,3,2,2,2,0,0,0,0,5542
R,95,115,66,34,85,50,50,47,44,28,16,14,11,14,12,14,4,2,7,3,8,4,2,6,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,736
H,186,183,126,122,128,98,87,86,79,71,36,39,31,25,28,23,14,8,13,11,10,14,6,9,9,3,4,3,0,2,0,0,1,0,0,0,1,0,0,0,0,0,1456
2B,45,39,18,19,28,19,18,19,20,12,8,5,4,0,7,3,5,0,4,1,1,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285
3B,1,1,1,0,3,3,1,2,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
HR,28,42,5,6,23,2,7,4,11,4,3,0,2,1,4,2,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,150
RBI,103,118,42,62,66,36,36,27,43,36,17,9,9,9,18,10,6,4,3,5,2,10,3,4,4,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,689
TB,317,350,161,159,231,129,128,121,136,97,55,44,41,30,47,34,19,11,17,18,11,19,8,11,11,4,5,6,0,2,0,0,4,0,0,0,1,0,0,0,0,0,2227
BB,69,103,43,42,63,33,43,24,24,21,13,6,4,4,9,13,7,1,2,5,2,2,0,2,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,541
SO,93,76,64,51,148,60,77,50,64,59,22,14,28,10,26,24,23,25,11,7,13,8,8,6,7,11,5,6,9,5,5,5,1,3,1,2,0,0,0,0,0,0,1027
SB,9,14,5,8,12,11,8,2,0,1,5,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
AVG,.312,.312,.265,.262,.276,.223,.231,.300,.281,.296,.250,.281,.256,.208,.246,.221,.167,.111,.217,.196,.185,.359,.171,.265,.281,.120,.190,.158,.000,.143,.000,.000,.333,.000,.000,.000,.500,.000,.000,.000,.000,.000,.263
OBP,.390,.414,.328,.329,.361,.279,.310,.359,.343,.361,.311,.311,.286,.232,.298,.328,.231,.135,.242,.274,.214,.405,.171,.324,.314,.154,.227,.158,.000,.200,.125,.143,.333,.000,.000,.000,.500,.000,.000,.000,.000,.000,.332
SLG,.532,.596,.338,.342,.498,.294,.340,.422,.484,.404,.382,.317,.339,.250,.412,.327,.226,.153,.283,.321,.204,.487,.229,.324,.344,.160,.238,.316,.000,.143,.000,.000,1.333,.000,.000,.000,.500,.000,.000,.000,.000,.000,.402
OPS,.922,1.011,.667,.671,.859,.573,.651,.780,.827,.765,.693,.627,.625,.482,.711,.655,.457,.288,.525,.596,.418,.892,.400,.648,.658,.314,.465,.474,.000,.343,.125,.143,1.667,.000,.000,.000,1.000,.000,.000,.000,.000,.000,.733
WAR,5.7,7.3,-0.6,2.9,3.5,1.9,0.2,0.8,2.3,0.6,-0.2,0.1,-0.2,-0.4,0.1,0.1,0.3,-0.3,-0.4,0.1,0.3,0.3,0.0,0.4,-0.1,0.0,0.2,0.1,-0.3,-0.2,-0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
