Name,Albert Pujols 1B,Lance Berkman DH,Yadier Molina C,Jon Jay RF,Matt Holliday LF,Ryan Theriot 2B,Skip Schumaker 2B,Colby Rasmus LF *,David Freese 1B,Daniel Descalso 2B,Allen Craig 1B,Rafael Furcal 2B *,Nick Punto 2B,Tyler Greene SS,Gerald Laird C,Chris Carpenter SP,Tony Cruz C,Kyle Lohse SP,Jaime Garcia SP,Corey Patterson LF *,Jake Westbrook SP,Mark Hamilton 1B,Kyle McClellan RP,Edwin Jackson SP *,Andrew Brown LF,Pete Kozma SS,Matt Carpenter DH,Adron Chambers CF,Shane Robinson LF,Lance Lynn SP,Brandon Dickson RP,Ryan Franklin RP,Mitchell Boggs RP,Octavio Dotel RP *,Eduardo Sanchez RP,Jason Motte RP,Bryan Augenstein RP,Maikel Cleto RP,Fernando Salas RP,P.J. Walters SP *,Arthur Rhodes RP *,Trever Miller RP *,Marc Rzepczynski RP *,Miguel Batista SP *,Raul Valdes RP *,Brian Tallet RP *,Total
GP,147,145,139,159,124,132,117,94,97,148,75,50,63,58,37,34,38,35,32,44,35,38,44,13,11,16,7,18,9,18,4,21,51,29,26,78,5,3,68,4,19,39,28,26,7,18,162
AB,579,488,475,455,446,442,367,338,333,326,200,196,133,104,95,71,65,63,62,51,47,47,35,26,22,17,15,8,7,4,3,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,5532
R,105,90,55,56,83,46,34,61,41,35,33,29,21,22,11,2,8,3,3,5,2,5,3,2,1,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,762
H,173,147,145,135,132,120,104,83,99,86,63,50,37,22,22,11,17,11,6,8,5,10,5,8,4,3,1,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1513
2B,29,23,32,24,36,26,19,14,16,20,15,11,8,5,7,3,5,2,0,4,2,3,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308
3B,0,2,1,2,0,1,0,6,1,3,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
HR,37,31,14,10,22,1,2,11,10,1,11,7,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162
RBI,99,94,65,37,75,47,38,40,55,28,40,16,20,11,12,5,6,3,6,3,8,4,4,2,3,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726
TB,313,267,221,193,234,151,129,142,147,115,111,82,56,30,34,14,22,13,9,12,10,13,6,8,5,4,2,5,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2351
BB,61,92,33,28,60,29,27,45,24,33,15,17,25,13,9,2,6,1,1,2,3,4,1,1,0,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,542
SO,58,93,44,81,93,41,50,77,75,65,40,18,21,31,19,25,13,17,18,12,23,16,12,8,8,4,4,1,2,1,1,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,978
SB,9,2,4,6,2,4,0,5,1,2,5,4,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57
AVG,.299,.301,.305,.297,.296,.271,.283,.246,.297,.264,.315,.255,.278,.212,.232,.155,.262,.175,.097,.157,.106,.213,.143,.308,.182,.176,.067,.375,.000,.000,.667,.000,.000,.000,.000,.000,1.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.273
OBP,.366,.412,.349,.344,.388,.321,.333,.332,.350,.334,.362,.316,.388,.322,.302,.178,.333,.188,.111,.189,.160,.275,.167,.321,.182,.333,.263,.375,.125,.200,.667,.000,.000,.000,.000,.000,1.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.341
SLG,.541,.547,.465,.424,.525,.342,.351,.420,.441,.353,.555,.418,.421,.288,.358,.197,.338,.206,.145,.235,.213,.277,.171,.308,.227,.235,.133,.625,.000,.000,.667,.000,.000,.000,.000,.000,1.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.425
OPS,.906,.959,.814,.768,.912,.662,.685,.753,.791,.687,.917,.735,.809,.611,.660,.375,.672,.394,.256,.424,.373,.551,.338,.629,.409,.569,.396,1.000,.125,.200,1.333,.000,.000,.000,.000,.000,2.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.766
WAR,5.1,3.3,2.6,2.6,3.7,0.0,0.5,1.3,1.6,0.5,2.2,0.8,1.4,0.1,-0.3,0.0,-0.1,0.0,-0.3,-0.4,0.1,-0.1,0.1,0.2,-0.2,0.0,-0.2,0.0,-0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
