Name,Matt Holliday LF,Carlos Ivan Beltran OF,Yadier Molina C,David Freese 1B,Rafael Furcal 2B,Allen Craig 1B,Jon Jay RF,Daniel Descalso 2B,Matt Carpenter DH,Skip Schumaker 2B,Tyler Greene SS *,Shane Robinson LF,Tony Cruz C,Matt Adams 1B,Lance Berkman DH,Pete Kozma SS,Adam Wainwright SP,Kyle Lohse SP,Adron Chambers CF,Lance Lynn SP,Jake Westbrook SP,Jaime Garcia SP,Joe Kelly RP,Erik Komatsu RF *,Ryan Jackson SS,Bryan Anderson C,Steve Hill C,Chris Carpenter SP,Shelby Miller SP,Brandon Dickson RP,Kyle McClellan RP,Maikel Cleto RP,Fernando Salas RP,Barret Browning RP,Jason Motte RP,Trevor Rosenthal RP,Sam Freeman RP,Edward Mujica RP *,Marc Rzepczynski RP,Mitchell Boggs RP,Victor Marte RP,C.J. Fick RP *,J.C. Romero RP *,Eduardo Sanchez RP,Brian Fuentes RP *,Total
GP,157,151,138,144,121,119,117,143,114,107,77,102,51,27,32,26,33,34,41,35,30,20,29,15,13,10,9,3,6,4,16,9,65,22,67,19,24,29,70,78,48,2,11,17,6,162
AB,599,547,505,501,477,469,443,374,296,272,179,166,126,86,81,72,66,64,54,50,49,40,33,19,17,12,10,6,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5622
R,95,83,65,70,69,76,70,41,44,37,16,20,11,8,12,11,5,4,4,4,2,7,3,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,765
H,177,147,159,147,126,144,135,85,87,75,39,42,32,21,21,24,8,6,12,3,6,10,5,4,2,3,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1526
2B,36,26,28,25,18,35,22,10,22,14,9,8,9,6,7,5,2,1,0,0,1,1,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290
3B,2,1,0,1,3,0,4,7,5,4,2,0,1,0,1,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
HR,27,32,22,20,5,22,4,4,6,1,4,3,1,2,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159
RBI,102,97,76,79,49,92,40,26,46,28,19,16,11,13,7,14,4,3,4,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732
TB,298,271,253,234,165,245,177,121,137,100,64,59,46,33,36,41,13,7,16,3,7,16,7,4,2,4,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2367
BB,75,65,45,57,44,37,34,37,34,27,13,14,3,5,14,7,3,2,5,2,4,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533
SO,132,124,55,122,57,89,71,83,63,50,56,32,19,24,19,19,32,19,18,36,24,15,13,2,3,6,3,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1192
SB,4,13,12,3,12,2,19,6,1,1,9,1,0,0,2,2,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91
AVG,.295,.269,.315,.293,.264,.307,.305,.227,.294,.276,.218,.253,.254,.244,.259,.333,.121,.094,.222,.060,.122,.250,.152,.211,.118,.250,.200,.167,.667,.500,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.271
OBP,.379,.346,.373,.372,.325,.354,.373,.303,.365,.339,.272,.309,.267,.286,.381,.383,.159,.119,.300,.094,.189,.286,.152,.286,.167,.357,.200,.167,.667,.500,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.338
SLG,.497,.495,.501,.467,.346,.522,.400,.324,.463,.368,.358,.355,.365,.384,.444,.569,.197,.109,.296,.060,.143,.400,.212,.211,.118,.333,.300,.167,1.000,.500,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.421
OPS,.877,.842,.874,.839,.671,.876,.773,.627,.828,.707,.629,.665,.632,.669,.826,.952,.356,.229,.596,.154,.332,.686,.364,.496,.284,.690,.500,.333,1.667,1.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.759
WAR,3.8,3.6,6.7,3.6,1.2,2.2,3.2,-0.2,1.0,0.8,-0.5,0.6,-0.3,-0.1,0.5,1.1,0.1,-0.3,0.3,-0.2,0.1,0.6,0.1,-0.1,-0.2,-0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
