Name,Matt Carpenter DH,Carlos Ivan Beltran OF,Jon Jay RF,Matt Holliday LF,Allen Craig 1B,Yadier Molina C,David Freese 1B,Pete Kozma SS,Daniel Descalso 2B,Matt Adams 1B,Shane Robinson LF,Tony Cruz C,Adam Wainwright SP,Kolten Wong 2B,Ty Wigginton 3B,Lance Lynn SP,Shelby Miller SP,Rob Johnson C,Jake Westbrook SP,Joe Kelly RP,Brock Peterson 1B,Adron Chambers CF,Michael Wacha SP,Jaime Garcia SP,Tyler Lyons RP,Ryan Jackson SS,John Gast SP,Seth Maness RP,Jermaine Curtis 3B,Edward Mujica RP,Carlos Martinez RP,Fernando Salas RP,Trevor Rosenthal RP,Marc Rzepczynski RP *,Maikel Cleto RP,Audry Perez C,Kevin Siegrist RP,Sam Freeman RP,Michael Blazek RP *,Keith Butler RP,Randy Choate RP,Mitchell Boggs RP *,Victor Marte RP,John Axford RP *,Total
GP,157,145,157,141,134,136,138,143,123,108,99,51,35,32,47,33,31,20,21,40,23,25,15,9,12,7,3,66,5,65,21,27,74,11,1,2,45,13,11,16,64,18,4,13,162
AB,626,554,548,520,508,505,462,410,328,296,144,123,71,59,57,54,53,35,34,33,26,26,21,21,12,7,5,5,3,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,5557
R,126,79,75,103,71,68,53,44,43,46,22,13,4,6,9,1,3,2,5,4,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,783
H,199,164,151,156,160,161,121,89,78,84,36,25,15,9,9,4,4,6,6,5,2,4,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1494
2B,55,30,27,31,29,44,26,20,25,14,2,6,4,1,2,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,322
3B,7,3,2,1,2,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
HR,11,24,7,22,13,12,9,1,5,17,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125
RBI,78,84,67,94,97,80,60,35,43,51,16,13,6,0,3,2,2,2,4,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745
TB,301,272,203,255,232,241,176,112,120,149,46,36,19,10,11,4,8,9,8,6,2,5,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2231
BB,72,38,52,69,40,30,47,34,22,23,23,4,0,3,5,4,1,3,4,0,2,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,481
SO,98,90,103,86,100,55,106,91,56,80,17,25,23,12,19,30,29,6,12,8,11,11,10,10,4,2,3,3,1,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1110
SB,3,2,10,6,2,3,1,3,6,0,5,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
AVG,.318,.296,.276,.300,.315,.319,.262,.217,.238,.284,.250,.203,.211,.153,.158,.074,.075,.171,.176,.152,.077,.154,.143,.000,.167,.000,.000,.200,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.269
OBP,.392,.339,.351,.389,.373,.359,.340,.275,.290,.335,.345,.240,.208,.194,.238,.138,.109,.237,.263,.171,.143,.241,.143,.000,.167,.000,.167,.200,.400,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.332
SLG,.481,.491,.370,.490,.457,.477,.381,.273,.366,.503,.319,.293,.268,.169,.193,.074,.151,.257,.235,.182,.077,.192,.143,.000,.167,.000,.000,.200,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.401
OPS,.873,.830,.721,.879,.830,.836,.721,.548,.656,.839,.664,.533,.476,.363,.431,.212,.260,.494,.498,.353,.220,.434,.286,.000,.333,.000,.167,.400,.400,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.733
WAR,6.6,2.4,1.5,2.7,2.3,5.7,-0.3,-0.2,0.1,1.2,1.0,-0.6,0.3,-0.4,-0.8,-0.2,-0.1,-0.2,0.3,0.0,-0.3,-0.5,-0.1,-0.3,-0.1,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
