Name,Jhonny Peralta 3B,Matt Carpenter DH,Kolten Wong 2B,Jason Heyward RF,Yadier Molina C,Mark Reynolds 1B,Randal Grichuk CF,Stephen Piscotty RF,Matt Holliday LF,Jon Jay RF,Peter Bourjos CF,Matt Adams 1B,Tommy Pham LF,Tony Cruz C,Brandon Moss RF *,Pete Kozma SS,Greg Garcia 2B,John Lackey SP,Carlos Martinez RP,Michael Wacha SP,Lance Lynn SP,Xavier Scruggs 1B,Jaime Garcia SP,Dan Johnson 1B,Tyler Lyons RP,Tim Cooney SP,Adam Wainwright SP,Cody Stanley C,Carlos Manuel Villanueva P,Ed Easley C,Seth Maness RP,Travis Tartamella C,Dean Anna SS,Trevor Rosenthal RP,Mitch Harris RP,Miguel Socolovich RP,Matt Belisle RP,Marco Gonzales SP,Jordan Walden RP,Randy Choate RP,Sam Tuivailala RP,Marcus Hatley RP,Jonathan Broxton RP *,Steve Cishek RP *,Nick Greenwood SP,Kevin Siegrist RP,Total
GP,155,154,150,154,136,140,103,63,73,79,117,60,52,69,51,76,49,33,32,30,31,17,20,12,17,6,7,9,35,4,77,3,1,68,26,28,34,1,12,71,14,2,26,27,1,81,162
AB,579,574,557,547,488,382,323,233,229,210,195,175,153,142,132,99,75,62,56,52,50,42,41,19,16,10,10,10,8,6,3,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,5484
R,64,101,71,79,34,35,49,29,24,25,32,14,28,6,11,15,7,0,2,5,3,5,1,1,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647
H,159,156,146,160,132,88,89,71,64,44,39,42,41,29,33,15,18,7,8,8,8,11,4,3,3,3,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1386
2B,26,44,28,33,23,21,23,15,16,5,8,9,7,7,7,0,5,2,2,1,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288
3B,1,3,4,4,2,2,7,4,1,1,3,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39
HR,17,28,11,13,4,13,17,7,4,1,4,5,5,2,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137
RBI,71,84,61,60,61,48,47,39,35,10,13,24,18,11,8,2,4,3,0,4,1,7,1,2,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,619
TB,238,290,215,240,171,152,177,115,94,54,65,66,73,44,54,15,29,9,10,9,10,13,4,3,3,4,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2163
BB,50,81,36,56,32,44,22,20,39,19,19,10,19,6,17,10,10,4,1,4,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,506
SO,111,151,95,90,59,121,110,56,49,36,59,41,41,32,42,21,12,24,23,20,26,10,15,4,4,0,2,3,5,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1267
SB,1,4,15,23,3,2,4,2,2,0,5,1,2,0,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69
AVG,.275,.272,.262,.293,.270,.230,.276,.305,.279,.210,.200,.240,.268,.204,.250,.152,.240,.113,.143,.154,.160,.262,.098,.158,.188,.300,.000,.400,.000,.000,.000,.500,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.253
OBP,.334,.365,.321,.359,.310,.315,.329,.359,.394,.306,.290,.280,.347,.235,.344,.236,.337,.167,.172,.214,.160,.279,.140,.238,.278,.300,.000,.400,.000,.000,.000,.500,.000,.000,.000,.000,.000,.000,.000,1.000,.000,.000,.000,.000,.000,.000,.321
SLG,.411,.505,.386,.439,.350,.398,.548,.494,.410,.257,.333,.377,.477,.310,.409,.152,.387,.145,.179,.173,.200,.310,.098,.158,.188,.400,.000,.500,.000,.000,.000,.500,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.394
OPS,.745,.871,.707,.797,.660,.713,.877,.853,.804,.563,.623,.657,.824,.545,.753,.388,.724,.312,.351,.387,.360,.589,.237,.396,.465,.700,.000,.900,.000,.000,.000,1.000,.000,.000,.000,.000,.000,.000,.000,1.000,.000,.000,.000,.000,.000,.000,.716
WAR,1.8,4.0,2.3,6.5,1.5,-0.6,3.2,0.9,0.8,-0.2,-0.7,0.3,1.5,-0.8,0.2,-0.7,0.7,-0.1,0.0,0.2,0.0,-0.1,-0.1,-0.3,0.2,0.2,-0.1,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,
