Name,Stephen Piscotty RF,Yadier Molina C,Matt Carpenter DH,Randal Grichuk CF,Brandon Moss RF,Aledmys Diaz LF,Jedd Gyorko 1B,Matt Holliday LF,Kolten Wong 2B,Matt Adams 1B,Jhonny Peralta 3B,Greg Garcia 2B,Jeremy Hazelbaker RF,Tommy Pham LF,Adam Wainwright SP,Carlos Martinez RP,Mike Leake SP,Jaime Garcia SP,Michael Wacha SP,Eric Fryer C *,Alberto Rosario C,Ruben Tejada 3B *,Jose Martinez 1B,Alex Reyes RP,Brayan Pena C,Carson Kelly C,Luke Weaver SP,Tyler Lyons RP,Seunghwan Oh RP,Jerome Williams RP,Michael McKenry C,Trevor Rosenthal RP,Matt Bowman RP,Dean Kiekhefer RP,Seth Maness RP,Mike Mayers RP,Zach Duke RP *,Sam Tuivailala RP,Jonathan Broxton RP,Miguel Socolovich RP,Kevin Siegrist RP,Total
GP,153,147,129,132,128,111,128,110,121,118,82,99,114,78,34,33,34,32,27,24,20,23,12,12,9,10,9,30,76,11,3,45,59,26,29,4,28,12,66,15,67,162
AB,582,534,473,446,413,404,400,382,313,297,289,214,200,159,62,59,49,41,39,38,38,34,16,14,13,13,13,4,2,2,1,1,1,1,1,0,0,0,0,0,0,5548
R,86,56,81,66,66,71,58,48,39,37,37,33,35,26,6,5,3,3,1,7,3,6,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,779
H,159,164,128,107,93,121,97,94,75,74,75,59,47,36,14,14,7,7,1,14,7,6,7,1,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1416
2B,35,38,36,29,19,28,9,20,7,18,17,11,7,7,8,1,1,0,0,2,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300
3B,3,1,6,3,2,3,1,1,7,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
HR,22,8,21,24,28,17,30,20,5,16,8,3,12,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225
RBI,85,58,68,68,67,65,59,62,23,54,29,17,28,17,18,6,4,4,0,5,2,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745
TB,266,228,239,214,200,206,198,176,111,140,118,79,96,70,30,15,8,7,1,16,9,8,8,1,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2455
BB,51,39,81,28,39,41,37,35,34,25,20,38,18,20,2,0,3,2,3,3,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526
SO,133,63,108,141,141,60,96,71,52,81,56,50,64,71,17,13,19,17,22,7,5,8,1,5,2,2,4,2,2,1,1,1,1,0,1,0,0,0,0,0,0,1318
SB,7,3,0,5,1,4,0,0,7,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
AVG,.273,.307,.271,.240,.225,.300,.243,.246,.240,.249,.260,.276,.235,.226,.226,.237,.143,.171,.026,.368,.184,.176,.438,.071,.154,.154,.385,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.255
OBP,.343,.360,.380,.289,.300,.369,.306,.322,.327,.309,.307,.393,.295,.324,.250,.246,.192,.205,.095,.415,.225,.225,.500,.071,.214,.214,.385,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.325
SLG,.457,.427,.505,.480,.484,.510,.495,.461,.355,.471,.408,.369,.480,.440,.484,.254,.163,.171,.026,.421,.237,.235,.500,.071,.231,.231,.385,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.443
OPS,.800,.787,.885,.769,.784,.879,.801,.782,.682,.780,.715,.762,.775,.764,.734,.500,.356,.375,.121,.836,.462,.460,1.000,.143,.445,.445,.769,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.768
WAR,2.9,2.9,3.4,2.7,0.8,3.5,2.9,0.3,1.5,0.7,-0.5,1.8,0.2,-0.1,0.9,0.5,0.0,0.1,-0.3,0.6,-0.2,-0.5,0.1,-0.1,-0.2,0.0,0.2,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
