Name,Yadier Molina C,Matt Carpenter DH,Tommy Pham LF,Jedd Gyorko 1B,Dexter Fowler RF,Paul DeJong SS,Randal Grichuk CF,Kolten Wong 2B,Stephen Piscotty RF,Aledmys Diaz LF,Jose Martinez 1B,Greg Garcia 2B,Luke Voit 1B,Harrison Bader CF,Eric Fryer C,Carson Kelly C,Carlos Martinez RP,Magneuris Sierra CF,Jhonny Peralta 3B,Lance Lynn SP,Matt Adams 1B *,Mike Leake SP *,Michael Wacha SP,Alex Mejia SS,Adam Wainwright SP,Luke Weaver SP,Chad Huffman 1B,Breyvic Valera 2B,Jack Flaherty SP,John Gant RP,Alberto Rosario C,Tyler Lyons RP,Marco Gonzales SP *,Brett Cecil RP,John Brebbia RP,Juan Nicasio RP *,Miguel Socolovich RP,Mike Mayers RP,Ryan Sherriff RP,Trevor Rosenthal RP,Zach Duke RP,Seunghwan Oh RP,Matt Bowman RP,Sam Tuivailala RP,Jonathan Broxton RP,Sandy Alcantara SP,Josh Lucas RP,Kevin Siegrist RP *,Total
GP,136,145,128,125,118,108,122,108,107,79,106,133,62,32,34,34,34,22,21,33,31,27,30,29,26,15,12,5,6,7,3,50,1,73,50,9,15,3,13,50,27,62,76,37,20,8,5,39,162
AB,501,497,444,426,420,417,412,354,341,286,272,241,114,85,71,69,62,60,54,54,48,47,46,46,42,19,14,10,6,3,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5470
R,60,91,95,52,68,55,53,55,40,31,47,27,18,10,7,5,5,10,3,2,4,2,3,6,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761
H,137,120,136,116,111,119,98,101,80,74,84,61,28,20,11,12,11,19,11,4,14,8,2,5,11,3,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1402
2B,27,31,22,21,22,26,25,27,16,17,13,9,9,3,3,3,3,0,0,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284
3B,1,2,2,2,9,1,3,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
HR,18,23,23,20,18,25,22,4,9,7,14,2,4,3,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196
RBI,82,69,73,67,64,65,59,42,39,20,46,20,18,10,3,6,11,5,0,0,7,4,3,3,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,728
TB,220,224,231,201,205,222,195,146,125,112,141,80,49,32,14,15,14,19,11,6,19,9,2,8,19,3,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2330
BB,28,109,71,47,63,21,26,41,52,13,32,37,7,5,11,5,1,4,4,1,4,3,1,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,593
SO,74,125,117,105,101,124,133,60,87,42,60,64,31,24,18,11,19,14,13,25,17,15,22,13,15,9,6,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1348
SB,9,2,25,6,7,1,6,8,3,4,4,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81
AVG,.273,.241,.306,.272,.264,.285,.238,.285,.235,.259,.309,.253,.246,.235,.155,.174,.177,.317,.204,.074,.292,.170,.043,.109,.262,.158,.286,.100,.000,.000,.000,.000,1.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.256
OBP,.312,.384,.411,.341,.363,.325,.285,.376,.342,.290,.379,.365,.306,.283,.277,.240,.203,.359,.259,.107,.340,.220,.063,.146,.279,.200,.333,.182,.000,.000,.000,.500,1.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.334
SLG,.439,.451,.520,.472,.488,.532,.473,.412,.367,.392,.518,.332,.430,.376,.197,.217,.226,.317,.204,.111,.396,.191,.043,.174,.452,.158,.429,.100,.000,.000,.000,.000,1.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.426
OPS,.751,.835,.931,.813,.851,.857,.758,.788,.708,.682,.897,.697,.736,.659,.474,.457,.429,.676,.462,.218,.735,.411,.106,.320,.731,.358,.762,.282,.000,.000,.000,.500,2.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.760
WAR,2.0,2.9,6.4,3.6,1.6,2.7,1.0,1.9,0.6,-0.7,1.4,0.7,0.3,0.1,-0.3,-0.4,0.3,0.3,-0.3,-0.2,-0.3,0.2,-0.3,-0.2,0.6,0.1,-0.1,-0.3,-0.1,0.0,-0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
