Name,Marcell Ozuna LF,Matt Carpenter DH,Jose Martinez 1B,Yadier Molina C,Paul DeJong SS,Harrison Bader CF,Kolten Wong 2B,Jedd Gyorko 1B,Tommy Pham LF *,Yairo Munoz 3B,Dexter Fowler RF,Greg Garcia 2B,Francisco Pena C,Tyler O'Neill LF,Miles Mikolas SP,Matt Adams 1B *,Patrick Wisdom 3B,Jack Flaherty SP,Luke Weaver SP,Carson Kelly C,Carlos Martinez RP,John Gant RP,Michael Wacha SP,Austin Gomber RP,Adolis Garcia RF,Luke Voit 1B *,Adam Wainwright SP,Daniel Ponce de Leon SP,Steven Baron C,Tyson Ross SP *,Edmundo Sosa SS,John Brebbia RP,Matt Bowman RP,Jordan Hicks RP,Dakota Hudson SP,Alex Reyes RP,Mike Mayers RP,Chasen Shreve RP,Total
GP,148,156,152,123,115,138,127,125,98,108,90,114,58,61,32,27,32,28,33,19,33,27,15,27,21,8,8,10,2,8,3,43,21,67,24,1,48,19,162
AB,582,564,534,459,436,379,353,351,351,293,289,181,133,130,63,57,50,46,38,35,33,31,25,19,17,11,11,9,5,3,2,2,1,1,1,1,1,1,5498
R,69,111,64,55,68,61,41,49,67,39,40,15,10,29,4,5,11,2,4,1,1,2,3,1,3,2,0,0,0,1,1,0,0,0,0,0,0,0,759
H,163,145,163,120,105,100,88,92,87,81,52,40,27,33,9,9,13,7,6,4,8,2,2,4,2,2,1,1,1,2,0,0,0,0,0,0,0,0,1369
2B,16,42,30,20,25,20,18,19,11,16,10,6,3,5,1,1,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,248
3B,2,0,0,0,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9
HR,23,36,17,20,19,12,9,11,14,8,8,3,2,9,2,3,4,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,205
RBI,88,81,83,74,68,37,38,47,41,42,31,15,8,23,6,9,10,0,2,3,4,3,1,4,1,3,1,1,0,1,0,0,0,0,0,0,0,0,725
TB,252,295,244,200,189,160,137,146,140,121,86,55,36,65,16,19,26,7,6,4,13,8,2,5,3,5,1,3,1,5,0,0,0,0,0,0,0,0,2250
BB,38,102,49,29,36,31,31,44,42,30,38,20,6,7,2,3,6,2,1,3,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,1,0,525
SO,110,158,104,66,123,125,60,77,97,71,75,37,43,57,33,18,19,20,14,7,11,14,9,3,7,4,6,4,2,0,1,1,0,1,0,1,1,1,1380
SB,3,4,0,4,1,15,6,2,10,5,5,3,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
AVG,.280,.257,.305,.261,.241,.264,.249,.262,.248,.276,.180,.221,.203,.254,.143,.158,.260,.152,.158,.114,.242,.065,.080,.211,.118,.182,.091,.111,.200,.667,.000,.000,.000,.000,.000,.000,.000,.000,.249
OBP,.325,.374,.364,.314,.313,.334,.332,.346,.331,.350,.278,.309,.239,.303,.167,.200,.362,.188,.179,.205,.235,.065,.115,.211,.118,.308,.091,.111,.200,.667,.333,.000,.000,.000,.000,.000,.500,.000,.321
SLG,.433,.523,.457,.436,.433,.422,.388,.416,.399,.413,.298,.304,.271,.500,.254,.333,.520,.152,.158,.114,.394,.258,.080,.263,.176,.455,.091,.333,.200,1.667,.000,.000,.000,.000,.000,.000,.000,.000,.409
OPS,.758,.897,.821,.750,.746,.756,.720,.762,.730,.763,.576,.613,.510,.803,.421,.533,.882,.340,.337,.319,.629,.323,.195,.474,.294,.762,.182,.444,.400,2.333,.333,.000,.000,.000,.000,.000,.500,.000,.730
WAR,2.9,4.9,1.5,1.8,3.8,3.8,3.5,2.0,0.8,0.2,-1.4,0.3,-1.0,1.4,0.3,-0.3,0.6,0.0,-0.1,-0.5,0.3,-0.1,0.0,0.1,-0.3,0.1,-0.1,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
