Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
Kris Bryant 3B,155,603,121,176,35,3,39,102,334,75,154,8,.292,.385,.554,.939,7.7
Anthony Rizzo 1B,155,583,94,170,43,4,32,109,317,74,108,3,.292,.385,.544,.928,5.7
Jason Heyward RF,142,530,61,122,27,1,7,49,172,54,93,11,.230,.306,.325,.631,1.6
Addison Russell 2B,151,525,67,125,25,3,21,95,219,55,135,5,.238,.321,.417,.738,4.3
Ben Zobrist RF,147,523,94,142,31,3,18,76,233,96,82,6,.272,.386,.446,.831,3.8
Dexter Fowler RF,125,456,84,126,25,7,13,48,204,79,124,13,.276,.393,.447,.840,4.3
Javier Baez SS,142,421,50,115,19,1,14,59,178,15,108,12,.273,.314,.423,.737,3.4
Willson Contreras C,76,252,33,71,14,1,12,35,123,26,67,2,.282,.357,.488,.845,1.8
Miguel Montero C,86,241,33,52,8,1,8,33,86,38,58,1,.216,.327,.357,.684,-0.3
Jorge Soler RF,86,227,37,54,9,0,12,31,99,31,66,0,.238,.333,.436,.769,0.2
Matt Szczur CF,107,185,30,48,9,1,5,24,74,13,39,2,.259,.312,.400,.712,0.4
David Ross C,67,166,24,38,6,0,10,32,74,30,54,0,.229,.338,.446,.784,1.7
Tommy La Stella 2B,74,148,17,40,12,1,2,11,60,18,27,0,.270,.357,.405,.763,0.6
Albert Almora Jr. CF,47,112,14,31,9,1,3,14,51,5,20,0,.277,.308,.455,.763,0.7
Chris Coghlan 3B *,48,103,21,26,7,2,1,16,40,22,26,1,.252,.391,.388,.779,1.0
Jake Arrieta SP,31,65,7,17,2,1,2,7,27,4,28,0,.262,.304,.415,.720,0.8
Jason Hammel SP,35,65,6,16,3,0,0,7,19,1,24,0,.246,.258,.292,.550,0.5
John Lackey SP,29,63,1,6,2,0,0,2,8,2,31,0,.095,.123,.127,.250,-0.3
Jon Lester SP,33,59,3,6,3,0,0,6,9,6,18,0,.102,.185,.153,.337,-0.1
Kyle Hendricks SP,32,58,1,8,0,0,0,2,8,1,29,0,.138,.167,.138,.305,-0.1
Tim Federowicz C,17,31,3,6,2,0,0,3,8,1,12,0,.194,.212,.258,.470,-0.4
Munenori Kawasaki SS,14,21,3,7,2,0,0,1,9,4,5,2,.333,.462,.429,.890,0.2
Jeimer Candelario 3B,5,11,0,1,0,0,0,0,1,2,5,0,.091,.286,.091,.377,-0.2
Travis Wood SP,81,11,0,2,0,0,0,1,2,1,5,0,.182,.250,.182,.432,0.1
Mike Montgomery RP *,17,11,2,1,0,0,0,1,1,0,5,0,.091,.091,.091,.182,0.0
Trevor Cahill SP,51,8,1,1,0,0,0,1,1,1,4,0,.125,.222,.125,.347,0.0
Ryan Kalish LF,7,7,1,2,0,0,0,2,2,1,0,0,.286,.444,.286,.730,0.1
Kyle Schwarber LF,2,4,0,0,0,0,0,0,0,1,2,0,.000,.200,.000,.200,-0.1
Rob Zastryzny RP,8,3,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,.000,0.0
Adam Warren RP *,29,3,0,0,0,0,0,0,0,0,3,0,.000,.000,.000,.000,0.0
Spencer Patton P,16,2,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Pedro Strop RP,55,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Hector Rondon RP,54,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Clayton Richard SP *,26,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Joel Peralta RP *,5,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Carl Edwards Jr. RP,37,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Jake Buchanan SP,2,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Justin Grimm RP,68,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Joe Nathan RP *,3,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Felix Pena RP,11,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Aroldis Chapman RP *,28,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Gerardo Concepcion RP,3,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Brian Matusz SP *,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Neil Ramirez RP *,8,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Joe Smith RP *,16,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Total,162,5503,808,1409,293,30,199,767,2359,656,1339,66,.256,.343,.429,.772,
