,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2002,162,5496,706,1351,259,29,200,676,2268,585,1269,63,.246,.321,.413,.734,67
2003,162,5519,724,1431,302,24,172,691,2297,492,1158,73,.259,.323,.416,.739,88
2004,162,5628,789,1508,308,29,235,755,2579,489,1080,66,.268,.328,.458,.786,89
2005,162,5584,703,1506,323,23,194,674,2457,419,920,65,.270,.324,.440,.764,79
2006,162,5587,716,1496,271,46,166,677,2357,395,928,121,.268,.319,.422,.741,66
2007,162,5643,752,1530,340,28,151,711,2379,500,1054,86,.271,.333,.422,.754,85
2008,161,5588,855,1552,329,21,184,811,2475,636,1186,87,.278,.354,.443,.797,97
2009,161,5486,707,1398,293,29,161,678,2232,592,1185,56,.255,.332,.407,.738,83
2010,162,5512,685,1414,298,27,149,658,2213,479,1236,55,.257,.320,.401,.721,75
2011,162,5549,654,1423,285,36,148,610,2224,425,1202,69,.256,.314,.401,.715,71
2012,162,5411,613,1297,265,36,137,570,2045,447,1235,94,.240,.302,.378,.680,61
2013,162,5498,602,1307,297,18,172,576,2156,439,1230,63,.238,.300,.392,.693,66
2014,162,5508,614,1315,270,31,157,590,2118,442,1477,65,.239,.300,.385,.684,73
2015,162,5491,689,1341,272,30,171,657,2186,567,1518,95,.244,.321,.398,.719,97
2016,162,5503,808,1409,293,30,199,767,2359,656,1339,66,.256,.343,.429,.772,103
2017,162,5496,822,1402,274,29,223,785,2403,622,1401,62,.255,.338,.437,.775,92
2018,163,5624,761,1453,286,34,167,722,2308,576,1388,66,.258,.333,.410,.744,95
2019,162,5461,814,1378,270,26,256,783,2468,581,1460,45,.252,.333,.452,.785,84
