Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
Kelly Johnson 2B,154,585,93,166,36,5,26,71,290,79,148,13,.284,.370,.496,.865,4.1
Chris Young CF,156,584,94,150,33,0,27,91,264,74,145,28,.257,.341,.452,.793,5.2
Stephen Drew SS,151,565,83,157,33,12,15,61,259,62,108,10,.278,.352,.458,.810,3.7
Adam LaRoche DH,151,560,75,146,37,2,25,100,262,48,172,0,.261,.320,.468,.788,0.9
Mark Reynolds 1B,145,499,79,99,17,2,32,85,216,83,211,7,.198,.320,.433,.753,0.2
Justin Upton LF,133,495,73,135,27,3,17,69,219,64,152,18,.273,.356,.442,.799,1.4
Gerardo Parra CF,133,364,31,95,19,6,3,30,135,23,76,1,.261,.308,.371,.679,0.4
Miguel Montero C,85,297,36,79,20,2,9,43,130,29,71,0,.266,.332,.438,.770,1.1
Rusty Ryal 3B,104,207,19,54,7,1,3,11,72,8,67,0,.261,.308,.348,.656,-0.5
Chris Snyder C *,65,195,22,45,8,0,10,32,83,36,61,0,.231,.352,.426,.778,0.4
Tony Abreu 2B,81,193,16,45,11,1,1,13,61,4,47,2,.233,.244,.316,.560,-1.4
Conor Jackson 1B *,42,151,19,36,11,0,1,11,50,20,18,4,.238,.326,.331,.657,0.1
Cole Gillespie LF,45,104,11,24,8,0,2,12,38,7,29,1,.231,.283,.365,.649,-0.8
John Hester C,38,95,9,20,7,0,2,7,33,11,32,1,.211,.292,.347,.640,-0.5
Augie Ojeda 2B,59,79,6,15,3,0,0,5,18,8,8,0,.190,.258,.228,.486,-0.4
Ryan Roberts 3B,36,66,8,13,4,0,2,9,23,3,17,0,.197,.229,.348,.577,-0.1
Rodrigo Lopez SP,33,64,2,5,0,0,0,1,5,1,35,0,.078,.104,.078,.183,-0.6
Dan Haren SP *,23,55,8,20,6,0,1,7,29,1,9,0,.364,.375,.527,.902,1.1
Ian Kennedy RP,33,54,7,11,1,0,0,2,12,7,24,0,.204,.290,.222,.513,0.5
Ryan Church RF *,37,49,9,13,5,0,2,7,24,4,19,0,.265,.345,.490,.835,0.3
Brandon Allen LF,22,45,5,12,3,0,1,6,18,10,20,0,.267,.393,.400,.793,0.2
Edwin Jackson SP *,22,38,5,6,0,0,1,3,9,2,22,0,.158,.200,.237,.437,0.1
Barry Enright SP,18,33,1,8,1,0,0,6,9,0,9,0,.242,.235,.273,.508,0.2
Daniel Hudson RP *,11,27,1,4,2,0,0,6,6,0,7,0,.148,.179,.222,.401,0.0
Joe Saunders SP *,13,23,0,2,0,0,0,1,2,1,8,1,.087,.125,.087,.212,0.0
Bobby Crosby SS *,9,12,0,2,2,0,0,2,4,1,5,0,.167,.214,.333,.548,-0.2
Konrad Schmidt C,4,8,0,1,0,0,0,0,1,1,0,0,.125,.222,.125,.347,-0.1
Kris Benson SP,3,5,0,1,0,0,0,0,1,0,1,0,.200,.200,.200,.400,0.0
Cesar Valdez RP,9,4,0,0,0,0,0,0,0,0,3,0,.000,.000,.000,.000,-0.1
Dontrelle Willis SP *,6,4,1,1,0,0,0,0,1,1,1,0,.250,.400,.250,.650,0.1
Billy Buckner SP,3,4,0,1,0,0,0,0,1,1,0,0,.250,.400,.250,.650,0.1
Zach Kroenke RP,3,2,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Leo Rosales RP,16,2,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Blaine Boyer RP,54,2,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Esmerling Vásquez RP,57,2,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Aaron Heilman RP,70,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Kevin Mulvey SP,2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Jordan Norberto SP,33,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Daniel Stange RP,4,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
D.J. Carrasco RP *,18,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Chad Qualls RP *,43,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Mike Hampton SP,10,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Sam Demel RP,37,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Bob Howry RP *,14,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Carlos Rosa RP,22,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Saul Rivera RP,4,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Juan Gutierrez RP,58,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Rafael Rodriguez RP *,2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Total,162,5473,713,1366,301,34,180,691,2275,589,1529,86,.250,.325,.416,.740,
