,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,Wins
2005,162,5550,696,1419,291,27,191,670,2337,606,1094,67,.256,.332,.421,.754,98
2006,162,5645,773,1506,331,38,160,743,2393,504,965,76,.267,.331,.424,.755,84
2007,162,5398,712,1350,286,40,171,687,2229,532,1111,109,.250,.321,.413,.734,51
2008,162,5409,720,1355,318,47,159,683,2244,587,1287,58,.251,.327,.415,.742,77
2009,162,5565,720,1408,307,45,173,686,2324,571,1298,102,.253,.324,.418,.742,76
2010,162,5473,713,1366,301,34,180,691,2275,589,1529,86,.250,.325,.416,.740,90
2011,162,5421,731,1357,293,37,172,702,2240,531,1249,133,.250,.322,.413,.736,82
2012,162,5462,734,1416,307,33,165,710,2284,539,1266,93,.259,.328,.418,.746,70
2013,162,5676,685,1468,302,31,130,647,2222,519,1142,62,.259,.323,.391,.715,65
2014,162,5552,615,1379,259,47,118,573,2086,398,1165,86,.248,.302,.376,.678,94
2015,162,5649,720,1494,289,48,154,680,2341,490,1312,132,.264,.324,.414,.738,81
2016,162,5665,752,1479,285,56,190,709,2446,463,1427,137,.261,.320,.432,.752,81
2017,162,5525,812,1405,314,39,220,776,2457,578,1456,103,.254,.329,.445,.774,64
