Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
Pedro Feliz 3B,160,603,75,147,35,5,22,98,258,33,112,1,.244,.281,.428,.709,1.6
Omar Vizquel 2B,153,579,88,171,22,10,4,58,225,56,51,24,.295,.361,.389,.749,2.7
Randy Winn LF,149,573,82,150,34,5,11,56,227,48,63,10,.262,.324,.396,.721,1.4
Ray Durham 2B,137,498,79,146,30,7,26,93,268,51,61,7,.293,.360,.538,.898,3.0
Steve Finley CF,139,426,66,105,21,12,6,40,168,46,55,7,.246,.320,.394,.714,1.0
Barry Bonds LF,130,367,74,99,23,0,26,77,200,115,51,3,.270,.454,.545,.999,3.8
Moises Alou LF,98,345,52,104,25,1,22,74,197,28,31,2,.301,.352,.571,.923,1.3
Eliezer Alfonzo C,87,286,27,76,17,2,12,39,133,9,74,1,.266,.302,.465,.767,0.6
Mark Sweeney 1B,114,259,32,65,15,2,5,37,99,28,50,0,.251,.330,.382,.712,0.1
Shea Hillenbrand 3B *,60,234,33,58,12,0,9,29,97,7,40,0,.248,.275,.415,.690,-0.7
Lance Niekro 1B,66,199,27,49,9,2,5,31,77,11,32,0,.246,.286,.387,.673,-0.1
Mike Matheny C,47,160,10,37,8,0,3,18,54,9,30,0,.231,.276,.338,.613,-0.2
Todd Greene C,61,159,16,46,12,2,2,17,68,10,45,0,.289,.335,.428,.763,0.2
Jose Vizcaino SS *,64,119,16,25,3,0,1,5,31,16,10,0,.210,.304,.261,.564,-1.1
Kevin Frandsen 2B,41,93,12,20,4,0,2,7,30,3,14,0,.215,.284,.323,.607,-0.3
Jason Ellison OF,84,81,14,18,5,1,2,4,31,5,14,2,.222,.273,.383,.655,-0.3
Todd Linden LF,61,77,15,21,4,2,2,5,35,9,20,1,.273,.356,.455,.811,0.2
Jason Schmidt SP,32,66,4,9,3,0,1,1,15,0,26,0,.136,.136,.227,.364,0.1
Matt Morris SP,33,60,2,12,4,0,0,6,16,1,21,0,.200,.213,.267,.480,0.3
Matt Cain SP,32,57,1,8,2,0,0,1,10,1,28,0,.140,.155,.175,.331,-0.1
Jamey Wright RP,35,47,4,12,2,0,0,1,14,0,11,0,.255,.255,.298,.553,0.3
Noah Lowry SP,29,46,2,7,0,0,1,2,10,3,10,0,.152,.204,.217,.421,0.4
Brad Hennessey RP,36,27,1,6,1,0,0,0,7,0,9,0,.222,.222,.259,.481,0.1
Travis Ishikawa 1B,12,24,1,7,3,1,0,4,12,1,6,0,.292,.320,.500,.820,-0.1
Tomas De La Rosa SS,16,16,1,5,0,0,0,1,5,1,3,0,.313,.353,.313,.665,-0.1
Kevin Correia SP,48,12,1,1,0,0,0,0,1,0,7,0,.083,.083,.083,.167,-0.1
Daniel Ortmeier 1B,9,12,0,3,1,0,0,2,4,0,4,0,.250,.250,.333,.583,-0.1
Fred Lewis OF,13,11,5,5,1,0,0,2,6,0,3,0,.455,.455,.545,1.000,0.1
Justin Knoedler C,5,7,0,1,0,0,0,0,1,0,1,0,.143,.143,.143,.286,-0.1
Chad Santos 1B,3,7,2,3,0,0,1,2,6,1,2,0,.429,.500,.857,1.357,0.1
Jonathan Sanchez SP,27,7,1,0,0,0,0,0,0,1,4,0,.000,.125,.000,.125,-0.1
Jeremy Accardo RP *,38,5,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,-0.1
Jeff Fassero RP,10,4,2,1,0,0,0,0,1,0,1,0,.250,.250,.250,.500,0.1
Brian Wilson RP,31,2,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Tim Worrell RP,23,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Vinnie Chulk RP *,28,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Scott Munter RP,27,1,1,1,1,0,0,1,2,0,0,0,1.000,1.000,2.000,3.000,0.1
Mike Stanton RP *,26,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Billy Sadler RP,5,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Pat Misch SP,1,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Steve Kline RP,72,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Jack Taschner RP,24,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Tyler Walker RP *,6,0,0,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000,0.1
Armando Benitez RP,41,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Total,161,5472,746,1418,297,52,163,711,2308,494,891,58,.259,.324,.422,.746,
