Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
David Wright 3B,144,535,88,164,39,3,10,72,239,74,140,27,.307,.390,.447,.837,2.9
Daniel Murphy 1B,155,508,60,135,38,4,12,63,217,38,69,4,.266,.313,.427,.741,1.4
Luis Castillo 2B,142,486,77,147,12,3,1,40,168,69,58,20,.302,.387,.346,.732,1.2
Angel Pagan LF,88,343,54,105,22,11,6,32,167,25,56,14,.306,.350,.487,.837,3.8
Fernando Tatis 1B,125,340,42,96,21,4,8,48,149,22,54,4,.282,.339,.438,.777,1.3
Carlos Ivan Beltran OF,81,308,50,100,22,1,10,48,154,47,43,11,.325,.415,.500,.915,3.5
Jeff Francoeur LF *,75,289,40,90,20,2,10,41,144,11,46,1,.311,.338,.498,.836,1.5
Omir Santos C,96,281,28,73,14,1,7,40,110,15,44,0,.260,.296,.391,.688,0.0
Alex Cora SS,82,271,31,68,11,1,1,18,84,25,28,8,.251,.320,.310,.630,0.5
Gary Sheffield LF,100,268,44,74,13,2,10,43,121,40,46,2,.276,.372,.451,.823,0.2
Ryan Church RF *,67,232,26,65,16,0,2,22,87,17,36,6,.280,.332,.375,.707,0.8
Brian Schneider C,59,170,11,37,11,0,3,24,57,18,21,0,.218,.292,.335,.627,0.1
Jeremy T Reed LF,126,161,9,39,6,2,0,9,49,14,36,0,.242,.301,.304,.605,-0.8
Jose Reyes SS,36,147,18,41,7,2,2,15,58,18,19,11,.279,.355,.395,.750,0.8
Cory Sullivan CF,64,136,17,34,2,5,2,15,52,19,22,7,.250,.338,.382,.720,0.8
Anderson Hernandez 2B *,46,135,14,34,6,2,2,14,50,13,22,2,.252,.315,.370,.686,-0.2
Carlos Delgado 1B,26,94,15,28,7,1,4,23,49,12,20,0,.298,.393,.521,.914,0.5
Fernando Martinez LF,29,91,11,16,6,0,1,8,25,5,14,2,.176,.242,.275,.517,-0.2
Wilson Valdez SS,41,86,11,22,3,2,0,7,29,8,10,0,.256,.326,.337,.664,0.4
Ramon Castro C *,26,79,5,20,5,0,3,13,34,8,16,0,.253,.322,.430,.752,0.2
Nick Evans 1B,30,65,5,15,5,1,1,7,25,4,20,0,.231,.275,.385,.660,-0.6
Josh Thole C,17,53,2,17,2,1,0,9,21,4,5,1,.321,.356,.396,.752,0.1
Mike Pelfrey SP,31,52,4,5,1,0,0,4,6,2,12,0,.096,.143,.115,.258,-0.1
Ramon Martinez SS,12,42,1,7,2,0,0,4,9,1,9,1,.167,.182,.214,.396,-0.6
Johan Santana SP,25,42,1,7,3,0,0,4,10,5,14,0,.167,.255,.238,.493,0.4
Livan Hernandez RP *,24,40,0,5,0,0,0,0,5,1,4,0,.125,.146,.125,.271,-0.2
Tim Redding RP,30,29,0,2,0,0,0,0,2,0,9,0,.069,.069,.069,.138,-0.3
John Maine RP,16,27,0,4,0,0,0,2,4,0,11,0,.148,.148,.148,.296,-0.1
Angel Berroa SS *,14,27,4,4,1,0,0,2,5,3,6,0,.148,.233,.185,.419,-0.3
Nelson Figueroa RP,16,22,1,3,0,1,0,3,5,1,8,0,.136,.174,.227,.401,0.0
Oliver Perez RP,14,22,1,6,0,0,0,0,6,1,7,0,.273,.304,.273,.577,0.2
Argenis Reyes 2B,9,17,0,2,0,0,0,0,2,1,4,1,.118,.167,.118,.284,-0.3
Pat Misch SP *,22,13,0,0,0,0,0,0,0,2,5,0,.000,.133,.000,.133,0.0
Fernando Nieve SP,8,9,0,3,0,0,0,1,3,0,3,0,.333,.333,.333,.667,0.1
Jon Niese SP,5,8,0,1,0,0,0,0,1,0,3,0,.125,.125,.125,.250,0.0
Bobby Parnell RP,68,8,1,1,0,0,0,0,1,0,3,0,.125,.125,.125,.250,-0.1
Emil Brown RF,3,5,0,1,0,0,0,0,1,1,0,0,.200,.333,.200,.533,-0.1
Andy Green 3B,4,4,0,1,0,0,0,0,1,1,1,0,.250,.400,.250,.650,-0.1
Marlon Anderson LF,4,4,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,-0.1
Ken Takahashi RP,28,2,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,.000,0.0
Sean Green RP,79,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Robinson Cancel C,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Lance Broadway RP *,8,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
J.J. Putz RP,29,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Elmer Dessens RP,28,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Darren O'Day RP *,4,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Brian Stokes RP,69,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Billy Wagner RP *,2,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Tobi Stoner SP,4,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Pedro Feliciano RP,88,0,0,0,0,0,0,0,0,1,0,0,.000,1.000,.000,1.000,0.0
Casey Fossum SP,3,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Francisco Rodriguez RP,70,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Jon Switzer RP,4,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Total,162,5453,671,1472,295,49,95,631,2150,526,928,122,.270,.335,.394,.729,
