,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2002,161,5496,690,1409,238,22,160,650,2171,486,1044,87,.256,.322,.395,.717,75
2003,161,5341,642,1317,262,24,124,607,1999,489,1035,70,.247,.314,.374,.688,66
2004,162,5532,684,1376,289,20,185,658,2260,512,1159,107,.249,.317,.409,.726,71
2005,162,5505,722,1421,279,32,175,683,2289,486,1075,153,.258,.322,.416,.738,83
2006,162,5558,834,1469,323,41,200,800,2474,547,1071,146,.264,.334,.445,.780,97
2007,162,5605,804,1543,294,27,177,761,2422,549,981,200,.275,.342,.432,.775,88
2008,162,5606,799,1491,274,38,172,751,2357,619,1024,138,.266,.340,.420,.761,89
2009,162,5453,671,1472,295,49,95,631,2150,526,928,122,.270,.335,.394,.729,70
2010,162,5465,656,1361,266,40,128,625,2091,502,1095,130,.249,.314,.383,.697,79
2011,162,5600,718,1477,309,39,108,676,2188,571,1085,130,.264,.335,.391,.725,77
2012,162,5450,650,1357,286,21,139,625,2102,503,1250,79,.249,.316,.386,.701,74
2013,162,5559,619,1318,263,32,130,593,2035,512,1384,114,.237,.306,.366,.672,74
2014,162,5472,629,1306,275,19,125,602,1994,516,1264,101,.239,.308,.364,.673,79
2015,162,5527,683,1351,295,17,177,654,2211,488,1290,51,.244,.312,.400,.712,90
2016,162,5459,671,1342,240,19,218,649,2274,517,1302,42,.246,.316,.417,.733,87
2017,162,5510,735,1379,286,28,224,713,2393,529,1291,58,.250,.320,.434,.755,70
2018,162,5468,676,1282,265,34,170,649,2125,566,1404,71,.234,.312,.389,.701,77
2019,162,5624,791,1445,280,17,242,767,2485,516,1384,56,.257,.328,.442,.770,86
