Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
Wil Myers RF,157,599,99,155,29,4,28,94,276,68,160,28,.259,.336,.461,.797,3.2
Alexei Ramirez SS *,128,421,33,101,19,2,5,41,139,17,56,6,.240,.275,.330,.605,-2.4
Derek Norris C,125,415,50,77,17,0,14,42,136,36,139,9,.186,.255,.328,.583,0.3
Matt Kemp LF *,100,409,54,107,24,0,23,69,200,16,100,0,.262,.285,.489,.774,0.0
Yangervis Solarte 3B,109,405,55,116,26,1,15,71,189,30,63,1,.286,.341,.467,.808,2.2
Jon Jay RF,90,347,49,101,26,1,2,26,135,19,78,2,.291,.339,.389,.728,1.1
B.J. Upton CF *,92,344,46,88,11,2,16,45,151,23,106,20,.256,.304,.439,.743,1.8
Travis Jankowski CF,131,335,53,82,13,2,2,12,105,42,100,30,.245,.332,.313,.646,1.2
Ryan Schimpf 2B,89,276,48,60,17,5,20,51,147,42,105,1,.217,.336,.533,.869,1.8
Alex Dickerson LF,84,253,39,65,16,2,10,37,115,26,44,5,.257,.333,.455,.788,1.1
Brett Wallace 3B,119,217,19,41,10,0,6,20,69,29,83,0,.189,.309,.318,.627,-0.7
Adam Rosales SS,105,214,37,49,12,3,13,35,106,29,88,4,.229,.319,.495,.814,1.7
Christian Bethancourt C,73,193,20,44,9,0,6,25,71,10,56,1,.228,.265,.368,.633,-0.4
Alexi Amarista SS,65,140,9,36,2,0,0,11,38,8,26,9,.257,.295,.271,.567,-0.6
Luis Sardinas SS *,34,108,13,31,6,1,2,13,45,11,23,3,.287,.353,.417,.770,0.3
Jabari Blash RF,38,71,7,12,2,0,3,5,23,11,34,1,.169,.298,.324,.622,0.0
Jemile Weeks 2B,17,50,5,7,1,1,0,2,10,3,14,1,.140,.204,.200,.404,0.0
Cory Spangenberg 3B,14,48,6,11,1,1,1,8,17,4,13,1,.229,.302,.354,.656,0.4
Oswaldo Arcia RF *,14,43,2,5,1,0,2,4,12,2,14,0,.116,.156,.279,.435,-0.5
Hector Sanchez C *,26,42,3,12,1,0,3,7,22,3,8,0,.286,.348,.524,.872,0.4
Jose Pirela LF,15,39,2,6,2,0,0,0,8,1,9,0,.154,.175,.205,.380,-0.6
Luis Perdomo RP,36,38,1,5,1,0,0,1,6,1,15,0,.132,.175,.158,.333,0.1
Christian Friedrich P,24,37,2,2,0,0,0,2,2,3,23,0,.054,.125,.054,.179,-0.1
Manuel Margot RF,10,37,4,9,4,1,0,3,15,0,7,2,.243,.243,.405,.649,0.6
Hunter Renfroe RF,11,35,8,13,3,0,4,14,28,1,5,0,.371,.389,.800,1.189,0.4
Colin Rea SP *,20,33,3,4,0,0,0,1,4,2,16,0,.121,.171,.121,.293,-0.1
Drew Pomeranz RP *,17,33,2,5,0,0,1,4,8,0,19,0,.152,.152,.242,.394,0.0
Jose Rondon SS,8,25,1,3,0,0,0,1,3,1,4,0,.120,.154,.120,.274,-0.8
Austin Hedges C,8,24,2,3,1,0,0,1,4,0,7,0,.125,.154,.167,.321,-0.5
Carlos Asuaje 2B,7,24,2,5,2,0,0,2,7,1,4,0,.208,.240,.292,.532,-0.2
Edwin Jackson SP *,16,23,2,5,1,0,0,2,6,3,11,1,.217,.308,.261,.569,0.4
