Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
Jimmy Rollins SS,158,677,115,196,38,11,12,54,292,47,71,41,.290,.338,.431,.770,4.7
Bobby Abreu RF,162,588,104,168,37,1,24,102,279,117,134,31,.286,.405,.474,.879,3.4
Pat Burrell LF,154,562,78,158,27,1,32,117,283,99,160,0,.281,.389,.504,.892,3.4
David Bell 3B,150,557,53,138,31,1,10,61,201,47,69,0,.248,.310,.361,.671,0.6
Chase Utley 2B,147,543,93,158,39,6,28,105,293,69,109,16,.291,.376,.540,.915,7.0
Mike Lieberthal C,118,392,48,103,25,0,12,47,164,35,35,0,.263,.336,.418,.755,-0.2
Kenny Lofton LF,110,367,67,123,15,5,2,36,154,32,41,22,.335,.392,.420,.811,3.4
Ryan Howard 1B,88,312,52,90,17,2,22,63,177,33,100,0,.288,.356,.567,.924,2.9
Jason Michaels LF,105,289,54,88,16,2,4,31,120,44,45,3,.304,.399,.415,.814,2.6
Jim Thome DH,59,193,26,40,7,0,7,30,68,45,59,0,.207,.360,.352,.712,0.1
Todd Pratt C,60,175,17,44,4,0,7,23,69,19,50,0,.251,.332,.394,.726,0.1
Tomas Perez 2B,94,159,17,37,7,0,0,22,44,11,27,1,.233,.289,.277,.566,-0.5
Placido Polanco 3B *,43,158,26,50,7,0,3,20,66,12,9,0,.316,.376,.418,.793,1.7
Endy Chavez RF *,91,107,17,23,3,3,0,10,32,4,13,2,.215,.243,.299,.542,-0.4
Jon Lieber RP,36,73,7,7,2,0,0,4,9,1,29,0,.096,.107,.123,.230,-0.6
Brett Myers SP,34,65,1,10,1,0,0,5,11,4,19,0,.154,.203,.169,.372,0.0
Cory Lidle SP,31,58,2,8,0,0,0,2,8,1,30,0,.138,.153,.138,.290,-0.3
Ramon Martinez SS *,33,56,7,16,2,0,1,9,21,3,7,0,.286,.317,.375,.692,-0.2
Vicente Padilla RP,27,41,2,6,1,1,0,4,9,5,24,0,.146,.239,.220,.459,0.2
Jose Offerman 1B *,33,33,6,6,1,1,1,3,12,5,6,0,.182,.289,.364,.653,0.0
Randy Wolf SP,15,26,2,4,2,0,0,1,6,1,8,0,.154,.185,.231,.416,0.0
Robinson Tejeda RP,26,20,1,2,0,1,0,0,4,0,9,0,.100,.100,.200,.300,0.1
Michael Tucker RF *,22,18,3,4,0,0,0,3,4,3,4,0,.222,.333,.222,.556,-0.1
Shane Victorino RF,21,17,5,5,0,0,2,8,11,0,3,0,.294,.263,.647,.910,0.2
Marlon Byrd RF *,5,13,0,4,0,0,0,0,4,1,3,0,.308,.400,.308,.708,0.0
Gavin Floyd RP,7,9,0,1,0,0,0,0,1,0,5,0,.111,.111,.111,.222,-0.1
Eude Brito SP,6,7,1,1,0,0,0,0,1,0,2,0,.143,.143,.143,.286,0.0
Ryan Madson RP,78,6,0,0,0,0,0,0,0,1,0,0,.000,.143,.000,.143,-0.1
Matt Kata 2B *,10,6,1,1,0,0,0,0,1,0,2,0,.167,.167,.167,.333,-0.1
Geoff Geary RP,40,6,0,1,0,0,0,0,1,0,4,0,.167,.167,.167,.333,0.0
Billy Wagner RP,75,3,0,1,0,0,0,0,1,0,2,0,.333,.333,.333,.667,0.0
Aaron Fultz RP,62,3,1,1,0,0,0,0,1,0,2,0,.333,.333,.333,.667,0.1
Danny Sandoval SS,3,2,1,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,-0.1
Rheal Cormier RP,57,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,-0.1
Pedro Liriano RP,5,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Aquilino Lopez RP *,10,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Ugueth Urbina RP *,56,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Tim Worrell RP *,19,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Amaury Telemaco RP,7,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Terry Adams RP,16,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Total,162,5542,807,1494,282,35,167,760,2347,639,1083,116,.270,.348,.423,.772,
