,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2002,161,5523,710,1428,325,41,165,676,2330,640,1095,104,.259,.339,.422,.761,80
2003,162,5543,791,1448,325,27,166,757,2325,651,1155,72,.261,.343,.419,.762,86
2004,162,5643,840,1505,303,23,215,802,2499,645,1133,100,.267,.345,.443,.788,86
2005,162,5542,807,1494,282,35,167,760,2347,639,1083,116,.270,.348,.423,.772,88
2006,162,5687,865,1518,294,41,216,823,2542,626,1203,92,.267,.347,.447,.794,85
2007,162,5688,892,1558,326,41,213,850,2605,641,1205,138,.274,.354,.458,.812,89
2008,162,5509,799,1407,291,36,214,762,2412,586,1117,136,.255,.332,.438,.770,92
2009,162,5578,820,1439,312,35,224,788,2493,589,1155,119,.258,.334,.447,.781,93
2010,162,5581,772,1451,290,34,166,736,2307,560,1064,108,.260,.332,.413,.745,97
2011,162,5579,713,1409,258,38,153,693,2202,539,1024,96,.253,.323,.395,.717,102
2012,162,5544,684,1414,271,28,158,659,2215,454,1094,116,.255,.317,.400,.716,81
2013,162,5456,610,1355,255,32,140,578,2094,417,1205,73,.248,.306,.384,.690,73
2014,162,5603,619,1356,251,27,125,584,2036,443,1306,109,.242,.302,.363,.665,73
2015,162,5529,626,1374,272,37,130,586,2110,387,1274,88,.249,.303,.382,.684,63
2016,162,5434,610,1306,231,35,161,575,2090,424,1376,96,.240,.301,.385,.685,71
2017,162,5535,690,1382,287,36,174,654,2263,494,1417,59,.250,.315,.409,.723,66
2018,162,5424,677,1270,241,30,186,653,2129,582,1520,69,.234,.314,.393,.707,80
2019,162,5571,774,1369,311,26,215,742,2377,562,1453,78,.246,.319,.427,.746,81
