Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
Nate McLouth LF,152,597,113,165,46,4,26,94,297,65,93,23,.276,.356,.497,.853,2.2
Freddy Sanchez 2B,145,569,75,154,26,2,9,52,211,21,63,0,.271,.298,.371,.669,0.9
Adam LaRoche DH,136,492,66,133,32,3,25,85,246,54,122,1,.270,.341,.500,.841,1.1
Ryan Doumit LF,116,431,71,137,34,0,15,69,216,23,55,2,.318,.357,.501,.858,3.2
Jason Bay LF *,106,393,72,111,23,2,22,64,204,59,86,7,.282,.375,.519,.894,2.3
Xavier Nady RF *,89,327,50,108,26,1,13,57,175,25,55,1,.330,.383,.535,.919,2.3
Jose Bautista RF *,107,314,38,76,15,0,12,44,127,38,77,1,.242,.325,.404,.729,-0.1
Jack Wilson SS,87,305,24,83,18,1,1,22,106,13,27,2,.272,.312,.348,.659,1.4
Doug Mientkiewicz 1B,125,285,37,79,19,2,2,30,108,44,28,0,.277,.374,.379,.753,1.1
Jason Michaels LF *,102,228,25,52,9,1,8,44,87,23,52,1,.228,.300,.382,.682,-0.9
Luis Rivas SS,79,206,25,45,6,2,3,20,64,13,27,3,.218,.267,.311,.578,-0.6
Chris Gomez 3B,90,183,26,50,8,0,1,20,61,13,30,0,.273,.322,.333,.655,0.0
Andy LaRoche 3B *,49,164,11,25,4,0,3,12,38,14,30,2,.152,.227,.232,.458,-0.8
Nyjer Morgan CF,58,160,26,47,13,0,0,7,60,10,32,9,.294,.345,.375,.720,0.8
Brandon Moss RF *,45,158,12,35,10,2,6,23,67,15,45,0,.222,.288,.424,.712,-0.5
Ronny Paulino C,40,118,8,25,5,0,2,18,36,11,24,0,.212,.277,.305,.582,0.0
Raul Chavez C,42,116,12,30,4,0,1,10,37,4,14,0,.259,.287,.319,.606,0.5
Steve Pearce 1B,37,109,6,27,7,0,4,15,46,5,22,2,.248,.294,.422,.716,-0.2
Brian Bixler SS,50,108,16,17,2,1,0,2,21,6,36,1,.157,.229,.194,.423,-0.8
Luis Cruz 3B,22,67,6,15,3,0,0,3,18,3,2,1,.224,.278,.269,.546,-0.1
Paul Maholm RP,31,65,4,8,0,0,0,3,8,6,28,0,.123,.197,.123,.320,-0.1
Zach Duke RP,32,57,2,9,0,0,0,1,9,2,20,0,.158,.186,.158,.344,0.1
Ian Snell SP,32,48,2,6,1,0,0,1,7,2,18,0,.125,.160,.146,.306,-0.1
Tom Gorzelanny RP,21,28,2,3,0,0,0,3,3,2,12,0,.107,.167,.107,.274,0.0
Phil Dumatrait SP,21,21,0,1,0,0,0,1,1,0,7,0,.048,.048,.048,.095,-0.3
Jeff Karstens SP,9,14,3,2,0,0,0,0,2,2,8,0,.143,.250,.143,.393,0.1
Jason Davis SP,14,8,0,0,0,0,0,0,0,0,4,0,.000,.000,.000,.000,-0.1
Yoslan Herrera SP,5,7,1,1,0,0,0,0,1,0,1,0,.143,.143,.143,.286,0.0
Matt Morris SP,5,7,0,2,1,0,0,1,3,0,4,0,.286,.286,.429,.714,0.1
John Van Benschoten RP,9,6,0,0,0,0,0,0,0,1,2,0,.000,.143,.000,.143,0.0
Ross Ohlendorf RP *,5,6,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,.000,-0.1
Franquelis Osoria RP,43,6,1,2,0,0,0,1,2,0,3,0,.333,.333,.333,.667,0.2
Robinzon Diaz C *,2,6,0,3,0,0,0,1,3,0,1,1,.500,.500,.500,1.000,0.2
Denny Bautista SP *,35,5,0,1,0,0,0,1,1,0,3,0,.200,.200,.200,.400,0.0
T.J. Beam RP,32,4,0,0,0,0,0,0,0,0,2,0,.000,.000,.000,.000,-0.1
Sean Burnett RP,58,3,1,1,1,0,0,0,2,0,2,0,.333,.333,.667,1.000,0.1
Jimmy Barthmaier RP,3,3,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Ty Taubenheim RP,1,2,0,1,1,0,0,1,2,0,0,0,.500,.500,1.000,1.500,0.1
John Grabow RP,74,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Matt Capps RP,49,1,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Damaso Marte RP *,47,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Evan Meek RP,9,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Marino Salas RP,13,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Jesse Chavez RP,15,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Tyler Yates RP,72,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Craig Hansen RP *,16,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Romulo Sanchez RP,10,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Total,162,5628,735,1454,314,21,153,705,2269,474,1039,57,.258,.320,.403,.723,
