Name,Todd Walker 1B,Aaron Boone 3B,Adam Dunn DH,Barry Larkin SS,Sean Casey 1B,Austin Kearns RF,Jason LaRue C,Juan Encarnacion RF *,Reggie Taylor OF,Russell Branyan 1B *,Ken Griffey Jr. DH,Corky Miller C,Jose Guillen RF *,Kelly Stinnett C,Ruben Mateo OF,Juan Castro 2B,Wilton Guerrero 2B *,Brady Clark OF *,Jimmy Haynes SP,Brandon Larson 3B,Gookie Dawkins SS,Elmer Dessens RP,Chris Reitsma RP,Ryan Dempster SP *,Joey Hamilton RP,Raul Gonzalez UN *,Wily Mo Pena LF,Jose Rijo RP,Brian Moehler RP *,Jared Fernandez RP,Shawn Estes SP *,Jose Acevedo RP,Danny Graves RP,Jim Brower RP *,Bruce Chen SP *,Scott Sullivan RP,Luis Pineda RP,Gabe White RP,John Riedling RP,Carlos Almanzar RP,Luke Hudson SP,Jose Silva RP,Scott Williamson RP,Total
GP,155,162,158,145,120,107,113,83,135,84,70,39,31,34,46,54,59,51,36,23,31,31,32,17,39,10,13,31,10,14,6,6,69,22,39,71,26,62,33,8,3,12,63,162
AB,612,606,535,507,425,372,353,321,287,217,197,114,109,93,86,82,78,66,61,51,48,45,30,29,28,23,18,16,14,10,8,7,6,4,3,3,3,2,1,0,0,0,0,5470
R,79,83,84,72,56,66,42,43,41,34,17,9,12,10,11,5,9,6,5,8,2,1,0,2,3,4,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,709
H,183,146,133,124,111,117,88,89,73,53,52,29,27,21,22,18,19,10,10,14,6,9,3,6,7,6,4,2,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1386
2B,42,38,28,37,25,24,17,11,15,9,8,10,3,5,6,3,1,3,2,2,2,0,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,297
3B,3,2,2,2,0,3,1,2,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
HR,11,26,26,7,6,13,12,16,9,16,8,3,4,3,2,2,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169
RBI,64,87,71,47,42,56,52,51,38,39,23,15,16,13,7,11,4,9,6,13,0,5,2,1,1,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,678
TB,264,266,243,186,154,186,143,152,123,112,84,48,42,35,34,27,22,13,12,28,8,9,3,7,10,7,7,2,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,2232
BB,50,56,128,44,43,54,27,26,14,34,28,9,7,15,6,7,6,6,1,6,6,3,1,1,0,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,583
SO,81,111,170,57,47,81,117,63,79,86,39,20,18,25,20,18,13,9,12,10,21,11,12,8,7,5,11,7,4,7,3,6,2,1,1,1,2,2,1,0,0,0,0,1188
SB,8,32,19,13,2,6,1,9,11,3,1,0,1,2,0,0,2,1,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
AVG,.299,.241,.249,.245,.261,.315,.249,.277,.254,.244,.264,.254,.248,.226,.256,.220,.244,.152,.164,.275,.125,.200,.100,.207,.250,.261,.222,.125,.000,.200,.000,.143,.000,.000,.000,.333,.000,.000,.000,.000,.000,.000,.000,.253
OBP,.353,.314,.400,.305,.334,.407,.324,.330,.291,.349,.358,.328,.299,.333,.319,.278,.298,.233,.177,.362,.222,.250,.129,.233,.241,.320,.222,.125,.067,.273,.000,.250,.000,.000,.000,.333,.000,.000,.000,.000,.000,.000,.000,.330
SLG,.431,.439,.454,.367,.362,.500,.405,.474,.429,.516,.426,.421,.385,.376,.395,.329,.282,.197,.197,.549,.167,.200,.100,.241,.357,.304,.389,.125,.000,.200,.000,.286,.000,.000,.000,.333,.000,.000,.000,.000,.000,.000,.000,.408
OPS,.785,.753,.854,.672,.696,.907,.729,.804,.719,.865,.784,.749,.684,.710,.714,.607,.580,.430,.374,.911,.389,.450,.229,.475,.599,.624,.611,.250,.067,.473,.000,.536,.000,.000,.000,.667,.000,.000,.000,.000,.000,.000,.000,.738
WAR,2.0,2.9,2.0,-0.6,0.1,3.9,0.7,1.4,0.2,0.9,-0.8,0.5,-0.3,0.0,-0.3,0.0,-0.4,-0.8,0.1,0.3,-0.7,0.2,-0.2,0.1,0.2,-0.1,-0.3,-0.2,-0.1,0.0,-0.2,0.1,-0.1,0.0,-0.1,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,
