Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
Sean Casey 1B,146,571,101,185,44,2,24,99,305,46,36,2,.324,.381,.534,.915,4.1
Adam Dunn DH,161,568,105,151,34,0,46,102,323,108,195,6,.266,.388,.569,.956,4.4
D'Angelo Jimenez 2B,152,563,76,152,28,3,12,67,222,82,99,13,.270,.364,.394,.758,3.3
Ryan Freel 3B,143,505,74,140,21,8,3,28,186,67,88,37,.277,.375,.368,.743,3.6
Jason LaRue C,114,390,46,98,24,2,14,55,168,26,108,0,.251,.334,.431,.765,2.4
Barry Larkin SS,111,346,55,100,15,3,8,44,145,34,39,2,.289,.352,.419,.771,0.5
Wily Mo Pena LF,110,336,45,87,10,1,26,66,177,22,108,5,.259,.316,.527,.843,1.3
Ken Griffey Jr. DH,83,300,49,76,18,0,20,60,154,44,67,1,.253,.351,.513,.864,0.5
Juan Castro 2B,111,299,36,73,21,2,5,26,113,14,51,1,.244,.277,.378,.655,-0.4
Felipe Lopez 2B,79,264,35,64,18,2,7,31,107,25,81,1,.242,.314,.405,.719,0.0
Austin Kearns RF,64,217,28,50,10,2,9,32,91,28,71,2,.230,.321,.419,.740,0.4
Javier Valentin C,82,202,18,47,10,1,6,20,77,17,36,0,.233,.293,.381,.674,-0.5
Jacob Cruz RF,96,147,22,33,8,0,3,28,50,16,43,0,.224,.317,.340,.658,-0.2
Brandon Larson 3B,40,118,13,25,6,0,3,14,40,14,35,1,.212,.304,.339,.643,0.0
Tim Hummel 3B,56,110,10,24,4,0,1,7,31,8,17,1,.218,.281,.282,.563,-0.9
Darren Bragg LF *,38,94,11,18,3,1,4,9,35,8,29,1,.191,.255,.372,.627,0.4
Paul Wilson SP,29,60,2,6,2,0,0,2,8,2,37,0,.100,.143,.133,.276,-0.2
Aaron Harang SP,28,57,1,4,1,0,0,0,5,0,33,0,.070,.070,.088,.158,-0.5
Anderson Machado SS,17,56,6,15,5,1,0,4,22,10,26,3,.268,.379,.393,.772,0.1
John Vander Wal 1B,42,51,2,6,2,0,2,4,14,4,20,0,.118,.182,.275,.456,-0.3
Jose Acevedo RP,39,43,0,2,0,0,0,1,2,3,26,0,.047,.106,.047,.153,-0.4
Cory Lidle SP *,24,42,2,6,2,0,0,2,8,5,23,0,.143,.234,.190,.425,0.2
Corky Miller C,13,39,2,1,0,0,0,3,1,6,12,0,.026,.204,.026,.230,-0.8
Jermaine Clark 2B,14,30,4,4,1,0,0,2,5,1,8,1,.133,.212,.167,.379,-0.4
Jason Romano 2B *,22,26,3,4,0,0,1,3,7,2,10,0,.154,.214,.269,.484,-0.3
Brandon Claussen SP,14,19,1,2,0,0,0,0,2,1,6,0,.105,.150,.105,.255,0.0
Todd Van Poppel RP,48,17,1,3,0,0,0,1,3,1,6,0,.176,.222,.176,.399,0.0
Luke Hudson SP,9,16,1,2,0,0,0,2,2,1,3,0,.125,.167,.125,.292,0.0
Josh Hancock RP *,12,15,1,2,0,0,0,1,2,3,11,0,.133,.278,.133,.411,0.1
Jesus Sanchez SP,3,4,0,0,0,0,0,0,0,0,3,0,.000,.000,.000,.000,-0.1
Jimmy Haynes SP,5,4,0,0,0,0,0,0,0,0,4,0,.000,.000,.000,.000,-0.1
Jung Keun Bong RP,3,4,0,0,0,0,0,0,0,0,3,0,.000,.000,.000,.000,-0.1
John Riedling RP,70,3,0,0,0,0,0,0,0,0,1,0,.000,.000,.000,.000,0.0
Ray Olmedo SS,8,1,0,0,0,0,0,0,0,1,0,0,.000,.500,.000,.500,0.0
Joe Valentine RP,24,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Juan Padilla RP *,12,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Gabe White RP *,40,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Mike Matthews RP,35,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Ryan Wagner RP,49,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Aaron Myette P,5,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Danny Graves RP,68,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Brian Reith RP,22,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Todd Jones RP *,51,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Phil Norton RP,69,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Total,162,5518,750,1380,287,28,194,713,2305,599,1335,77,.250,.331,.418,.749,
