Name,Felipe Lopez 2B,Adam Dunn DH,Sean Casey 1B,Ken Griffey Jr. DH,Rich Aurilia 1B,Austin Kearns RF,Ryan Freel 3B,Jason LaRue C,Joe Randa 3B *,Wily Mo Pena LF,Javier Valentin C,Edwin Encarnacion DH,Jacob Cruz RF,D'Angelo Jimenez 2B,Ray Olmedo SS,Aaron Harang SP,Eric Milton SP,Brandon Claussen SP,Ramon Ortiz SP,William Bergolla SS,Chris Denorfia LF,Jason Romano 2B,Luis Lopez SS,Aaron Holbert 2B,Luke Hudson SP,Paul Wilson SP,Randy Keisler RP,Kenny Kelly LF *,Elizardo Ramirez SP,Matt Belisle RP,Todd Coffey RP,Miguel Perez C,Dane Sardinha C,Ricky Stone RP,Anderson Machado SS *,Brian Shackelford RP,Ryan Wagner RP,David Weathers RP,Josh Hancock RP,Allan Simpson P *,Chris Booker RP,Danny Graves RP *,Kent Mercker RP,Jason Standridge RP *,Joe Valentine RP,Ben Weber RP,Total
GP,148,160,137,128,114,112,103,110,92,99,76,69,110,35,54,32,34,29,30,17,18,19,17,22,21,9,24,7,6,61,57,2,1,23,2,37,42,73,11,9,3,20,78,32,16,10,163
AB,580,543,529,491,426,387,369,361,332,311,221,211,127,105,77,74,56,55,54,38,38,30,27,27,25,17,15,9,8,7,3,3,3,2,2,1,1,0,0,0,0,0,0,0,0,0,5565
R,97,107,75,85,61,62,69,38,44,42,36,25,12,14,10,1,7,3,1,3,8,3,0,3,7,1,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,820
H,169,134,165,148,120,93,100,94,96,79,62,49,30,24,17,2,8,5,4,5,10,8,6,6,8,3,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1453
2B,34,35,32,30,23,26,19,27,26,17,11,16,10,7,4,0,1,0,2,0,3,2,3,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,335
3B,5,2,0,0,2,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
HR,23,40,9,35,14,18,4,14,13,19,14,9,4,0,1,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
RBI,85,101,58,92,68,67,21,60,48,51,50,31,18,5,4,3,4,0,0,1,2,3,2,2,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784
TB,282,293,224,283,189,175,137,163,163,153,115,92,52,31,26,2,15,5,6,5,16,13,9,9,10,3,9,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2484
BB,57,114,48,54,37,48,51,41,33,20,30,20,16,14,6,0,3,3,1,0,6,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,611
SO,111,168,48,93,67,107,59,101,52,116,37,60,46,23,22,39,25,22,23,10,9,9,6,8,9,11,4,3,3,3,3,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1303
SB,15,4,2,0,2,0,36,0,0,2,0,3,0,2,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72
AVG,.291,.247,.312,.301,.282,.240,.271,.260,.289,.254,.281,.232,.236,.229,.221,.027,.143,.091,.074,.132,.263,.267,.222,.222,.320,.176,.267,.333,.000,.143,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.261
OBP,.352,.387,.371,.369,.338,.333,.371,.355,.356,.304,.362,.308,.324,.319,.282,.027,.186,.138,.091,.132,.364,.353,.250,.290,.370,.176,.267,.333,.000,.143,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.339
SLG,.486,.540,.423,.576,.444,.452,.371,.452,.491,.492,.520,.436,.409,.295,.338,.027,.268,.091,.111,.132,.421,.433,.333,.333,.400,.176,.600,.333,.000,.143,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.446
OPS,.838,.927,.795,.946,.782,.785,.743,.806,.847,.796,.883,.744,.734,.615,.620,.054,.454,.229,.202,.263,.785,.786,.583,.624,.770,.353,.867,.667,.000,.286,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.785
WAR,4.0,2.6,0.8,3.5,1.4,2.2,2.4,2.6,1.5,-1.2,1.4,0.8,0.2,-0.3,-0.6,-0.8,0.2,-0.4,-0.5,-0.4,0.5,0.0,-0.4,-0.3,0.6,0.0,0.2,-0.1,-0.2,0.0,-0.1,-0.1,-0.1,0.0,-0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
