Name,Adam Dunn DH,Brandon Phillips 2B,Scott Hatteberg 1B,Ryan Freel 3B,Rich Aurilia 1B,Ken Griffey Jr. DH,Edwin Encarnacion DH,Felipe Lopez 2B *,Austin Kearns RF *,David Ross C,Jason LaRue C,Javier Valentin C,Royce Clayton SS *,Chris Denorfia LF,Juan Castro 2B *,Bronson Arroyo SP,Aaron Harang SP,Todd Hollandsworth LF *,Quinton McCracken CF,Eric Milton SP,Ray Olmedo SS,Norris Hopper LF,Dewayne Wise CF,Elizardo Ramirez SP,Kyle Lohse SP *,Brandon Claussen SP,Tony Womack 2B *,Dave Williams SP *,Brendan Harris 2B *,Joe Mays SP *,Chris Michalak RP,Cody Ross RF *,Matt Belisle RP,Andy Abad 1B,Justin Germano RP,Ryan Franklin RP *,David Weathers RP,Sun-Woo Kim RP *,Mike Burns RP *,Jason Johnson SP *,Rheal Cormier RP *,Mike Gosling SP,Scott Schoeneweis RP *,Chris Hammond RP,Gary Majewski RP *,Eddie Guardado P *,Brian Shackelford RP,Todd Coffey RP,Rick White RP *,Bill Bray RP *,Esteban Yan RP *,Brandon Watson OF *,Kent Mercker RP,Jason Standridge RP,Total
GP,160,149,141,132,122,109,117,85,87,90,72,92,50,49,54,35,36,34,45,28,30,21,31,21,12,14,9,8,8,7,8,2,30,5,2,20,67,2,11,4,21,1,16,29,19,15,26,81,26,29,14,1,37,21,162
AB,561,536,456,454,440,428,406,343,325,247,191,186,149,106,95,81,74,68,53,49,44,39,38,26,23,21,18,12,10,9,8,5,5,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5515
R,99,65,62,67,61,62,60,55,53,37,22,24,13,14,8,5,1,6,5,8,5,6,3,2,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749
H,131,148,132,123,132,108,112,92,89,63,37,50,35,30,27,9,8,18,11,11,9,14,7,5,4,2,4,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1419
2B,24,28,28,30,25,19,33,14,21,15,5,6,8,6,5,3,0,6,1,3,2,1,2,1,1,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291
3B,0,1,0,2,1,0,1,1,1,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
HR,40,17,13,8,23,27,15,9,16,21,8,8,2,1,2,2,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217
RBI,92,75,51,27,70,72,72,30,50,52,21,27,13,7,14,6,2,8,2,3,4,5,1,3,3,1,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,718
TB,275,229,199,181,228,208,192,135,160,143,66,82,49,39,40,18,8,27,17,16,14,18,9,6,5,2,6,1,5,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2385
BB,112,35,74,57,34,39,41,47,35,37,27,13,11,11,5,3,1,6,4,2,4,6,0,1,0,0,4,1,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,614
SO,194,88,41,98,51,78,78,66,85,75,51,29,32,21,13,31,35,19,9,24,4,4,6,9,10,11,3,5,4,4,5,2,2,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1192
SB,7,25,2,37,3,0,6,23,7,0,1,0,6,1,0,0,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,124
AVG,.234,.276,.289,.271,.300,.252,.276,.268,.274,.255,.194,.269,.235,.283,.284,.111,.108,.265,.208,.224,.205,.359,.184,.192,.174,.095,.222,.083,.200,.222,.250,.200,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.257
OBP,.365,.324,.389,.363,.349,.316,.359,.355,.351,.353,.317,.313,.290,.356,.320,.143,.132,.324,.263,.250,.271,.435,.184,.222,.174,.095,.364,.154,.273,.222,.333,.200,.000,.400,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.336
SLG,.490,.427,.436,.399,.518,.486,.473,.394,.492,.579,.346,.441,.329,.368,.421,.222,.108,.397,.321,.327,.318,.462,.237,.231,.217,.095,.333,.083,.500,.333,.375,.200,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.432
OPS,.855,.751,.826,.762,.867,.802,.831,.749,.843,.932,.663,.754,.619,.724,.741,.365,.240,.721,.584,.577,.589,.896,.421,.453,.391,.190,.697,.237,.773,.556,.708,.400,.000,.400,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.768
WAR,0.1,0.3,1.6,2.5,1.2,-0.3,0.8,0.3,1.3,1.7,-0.3,0.2,-0.4,0.4,0.9,0.2,-0.3,-0.2,-0.1,0.4,-0.7,0.6,-0.7,0.1,0.1,-0.2,0.1,-0.1,-0.1,0.0,0.1,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
