Name,Brandon Phillips 2B,Ken Griffey Jr. DH,Adam Dunn DH,Edwin Encarnacion DH,Alex Gonzalez SS,Scott Hatteberg 1B,David Ross C,Norris Hopper LF,Josh Hamilton LF,Ryan Freel 3B,Javier Valentin C,Jeff Keppinger 2B,Jeff Conine 1B *,Juan Castro 2B,Joey Votto 1B,Aaron Harang SP,Bronson Arroyo SP,Jorge Cantú 3B *,Matt Belisle RP,Chad Moeller C *,Jason Ellison OF *,Pedro Lopez SS,Buck Coats LF,Kyle Lohse SP *,Bobby Livingston SP,Ryan Jorgensen C,Mark Bellhorn 3B,Tom Shearn SP,Homer Bailey SP,Ryan Michael Hanigan C,Eric Milton SP,Phil Dumatrait SP,Mike Gosling SP,Dewayne Wise CF,Kirk Saarloos SP,Elizardo Ramirez SP,Victor Santos RP *,Gary Majewski RP,Mike Stanton RP,Enrique Cruz 2B,David Weathers RP,Ricky Stone RP,Rheal Cormier RP,Marcus McBeth RP,Jared Burton RP,Eddie Guardado P,Jon Coutlangus RP,Jerry Gil RP,Todd Coffey RP,Brad Salmon RP,Bill Bray RP,Total
GP,158,144,152,139,110,116,112,121,90,75,97,67,80,54,24,35,34,27,30,30,37,14,20,22,11,4,13,7,9,5,6,6,23,5,34,4,32,32,69,1,70,5,6,23,47,15,64,1,58,26,19,162
AB,650,528,522,502,393,361,311,307,298,277,243,241,215,89,84,74,70,57,50,48,48,45,34,33,25,15,14,11,11,10,7,6,5,5,5,5,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,5607
R,107,78,101,66,55,50,32,51,52,44,19,39,23,5,11,0,5,8,2,6,7,1,2,1,3,3,2,0,3,3,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,783
H,187,146,138,145,107,112,63,101,87,68,67,80,57,16,27,7,10,17,3,8,9,8,7,5,7,3,1,0,3,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1496
2B,26,24,27,25,27,27,10,14,17,13,21,16,11,5,7,1,2,8,1,1,1,2,4,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293
3B,6,1,2,1,1,1,0,2,2,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
HR,30,30,40,16,16,10,17,0,19,3,2,5,6,0,4,0,1,1,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204
RBI,94,93,106,76,55,47,39,14,47,16,34,32,32,5,17,2,3,9,1,2,2,0,2,1,2,6,1,0,2,2,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747
TB,315,262,289,220,184,171,124,119,165,96,94,115,88,21,46,8,15,28,4,12,13,10,11,5,7,9,1,0,4,4,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2447
BB,33,85,101,39,24,49,30,20,33,18,19,24,20,4,5,1,2,7,3,0,5,1,3,1,2,0,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536
SO,109,99,165,86,75,35,92,33,65,47,25,12,28,21,15,28,30,10,32,17,15,10,15,7,7,5,5,4,5,2,2,4,3,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1113
SB,32,6,9,8,0,0,0,14,3,15,0,2,4,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
AVG,.288,.277,.264,.289,.272,.310,.203,.329,.292,.245,.276,.332,.265,.180,.321,.095,.143,.298,.060,.167,.188,.178,.206,.152,.280,.200,.071,.000,.273,.300,.143,.000,.000,.200,.200,.200,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.267
OBP,.331,.372,.386,.356,.325,.394,.271,.371,.368,.308,.328,.400,.320,.211,.360,.117,.178,.382,.113,.167,.278,.213,.263,.171,.333,.200,.278,.083,.273,.364,.143,.000,.000,.333,.200,.200,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.335
SLG,.485,.496,.554,.438,.468,.474,.399,.388,.554,.347,.387,.477,.409,.236,.548,.108,.214,.491,.080,.250,.271,.222,.324,.152,.280,.600,.071,.000,.364,.400,.143,.000,.000,.600,.400,.200,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.436
OPS,.816,.869,.940,.794,.793,.868,.670,.758,.922,.655,.715,.877,.729,.446,.907,.225,.392,.874,.193,.417,.549,.435,.587,.323,.613,.800,.349,.083,.636,.764,.286,.000,.000,.933,.600,.400,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.772
WAR,3.7,0.4,1.2,1.2,2.0,0.8,-0.2,1.1,2.4,-0.3,-0.4,1.5,-0.2,-1.0,0.0,-0.5,0.0,0.1,-0.3,-0.6,0.1,-0.6,-0.1,-0.1,0.2,0.0,-0.2,-0.2,0.1,0.0,0.0,-0.1,-0.1,0.2,0.1,0.0,-0.1,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
