Name,Brandon Phillips 2B,Joey Votto 1B,Edwin Encarnacion DH,Jeff Keppinger 2B,Jay Bruce LF,Adam Dunn DH *,Corey Patterson LF,Ken Griffey Jr. DH *,Paul Bako C,Jerry Hairston Jr. 3B,David Ross C *,Ryan Freel 3B,Javier Valentin C,Jolbert Cabrera SS,Chris Dickerson LF,Ryan Michael Hanigan C,Paul Janish SS,Andy Phillips 1B *,Bronson Arroyo SP,Edinson Volquez SP,Aaron Harang SP,Scott Hatteberg 1B,Norris Hopper LF,Johnny Cueto SP,Danny Richar 2B,Wilkin Castillo C,Adam Rosales SS,Josh Fogg RP,Juan Castro 2B *,Ramon A. Ramirez SP,Homer Bailey SP,Matt Belisle RP,Micah Owings RP *,Nick Masset RP *,Daryl Thompson RP,Mike Lincoln RP,Adam Pettyjohn SP,Jeremy Affeldt RP,Francisco Cordero RP,Gary Majewski RP,Jared Burton RP,David Weathers RP,Todd Coffey RP *,Jon Adkins RP,Josh Roenicke RP,Bill Bray RP,Danny Herrera RP,Kent Mercker RP,Total
GP,141,151,146,121,108,114,135,102,99,80,52,48,94,48,31,31,38,52,40,33,30,34,26,32,16,18,18,23,7,5,8,6,4,10,4,64,3,74,72,37,54,72,17,4,5,63,7,15,162
AB,559,526,506,459,413,373,366,359,299,261,134,131,129,115,102,85,80,73,61,61,54,52,50,45,36,32,29,22,10,10,10,8,4,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,5465
R,80,69,75,45,63,58,46,51,30,47,17,17,10,17,20,9,5,11,4,3,0,3,3,4,4,6,0,3,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,704
H,146,156,127,122,105,87,75,88,65,85,31,39,33,29,31,23,15,17,12,6,7,9,10,2,8,9,6,3,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1351
2B,24,32,29,24,17,14,17,20,11,20,9,8,8,6,9,2,2,3,3,0,1,3,0,0,2,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,269
3B,7,3,1,2,1,0,2,1,2,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
HR,21,24,26,3,21,32,10,15,6,6,3,0,4,3,6,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187
RBI,78,84,68,43,52,74,34,53,35,36,13,10,18,12,15,9,6,10,6,1,2,7,1,1,3,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,677
TB,247,266,236,159,187,197,126,155,98,127,49,47,53,46,62,31,20,29,18,6,8,12,10,2,10,10,7,4,0,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2229
BB,39,59,61,30,33,80,16,61,34,23,32,8,14,8,17,10,7,6,4,0,0,7,5,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560
SO,93,102,102,24,110,120,57,64,90,36,36,18,27,29,35,9,18,14,21,31,20,7,6,15,9,5,4,9,0,3,5,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1125
SB,23,7,1,3,4,1,14,0,0,15,0,6,0,2,5,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85
AVG,.261,.297,.251,.266,.254,.233,.205,.245,.217,.326,.231,.298,.256,.252,.304,.271,.188,.233,.197,.098,.130,.173,.200,.044,.222,.281,.207,.136,.000,.100,.100,.125,.500,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.247
OBP,.312,.368,.340,.310,.314,.373,.238,.355,.299,.384,.381,.340,.326,.310,.413,.367,.270,.300,.246,.098,.130,.262,.286,.104,.222,.303,.233,.174,.091,.100,.100,.125,.500,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.321
SLG,.442,.506,.466,.346,.453,.528,.344,.432,.328,.487,.366,.359,.411,.400,.608,.365,.250,.397,.295,.098,.148,.231,.200,.044,.278,.313,.241,.182,.000,.100,.200,.125,.750,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.408
OPS,.754,.874,.807,.657,.767,.901,.582,.787,.626,.871,.747,.699,.737,.710,1.021,.732,.520,.697,.541,.197,.278,.493,.486,.149,.500,.616,.475,.356,.091,.200,.300,.250,1.250,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.729
WAR,2.8,3.1,0.4,-1.9,0.6,1.0,-0.3,-0.2,-0.9,1.9,0.6,-0.3,0.0,0.2,1.4,0.4,-0.3,0.1,0.5,-0.3,-0.2,-0.6,-0.1,-0.4,-0.4,-0.1,-0.2,0.0,-0.1,-0.1,-0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
