Name,Brandon Phillips 2B,Joey Votto 1B,Willy Taveras CF,Jay Bruce LF,Laynce Nix RF,Jerry Hairston Jr. 3B *,Ramon Hernandez C,Jonny Gomes LF,Paul Janish SS,Chris Dickerson LF,Ryan Michael Hanigan C,Alex Gonzalez SS *,Adam Rosales SS,Drew Stubbs CF,Edwin Encarnacion DH *,Scott Rolen 3B *,Wladimir Balentien LF *,Darnell McDonald LF,Craig Tatum C,Drew Sutton SS,Bronson Arroyo SP,Corky Miller C *,Micah Owings RP,Aaron Harang SP,Johnny Cueto SP,Homer Bailey SP,Kevin Barker 1B,Justin Lehr SP,Juan Francisco 3B,Edinson Volquez SP,Matt Maloney RP,Kip Wells SP *,Danny Richar 2B,Wilkin Castillo C,Danny Herrera RP,Mike Lincoln RP,Carlos Fisher RP,Arthur Rhodes RP,Nick Masset RP,Jared Burton RP,David Weathers RP *,Pedro Viola RP,Josh Roenicke RP *,Ramon A. Ramirez SP,Robert Manuel RP,Francisco Cordero RP,Total
GP,153,131,102,101,116,86,81,98,90,97,90,68,87,42,43,40,40,47,26,42,36,21,41,26,30,22,29,11,14,9,8,10,7,4,70,19,39,66,74,53,43,9,11,11,3,68,162
AB,584,469,404,345,309,307,287,281,256,255,251,243,230,180,139,137,110,105,68,66,62,56,54,47,46,38,32,22,21,16,12,11,8,3,2,2,1,1,1,1,0,0,0,0,0,0,5462
R,78,82,56,47,42,47,25,39,36,31,22,16,23,27,10,24,12,12,3,10,4,4,7,1,5,0,2,1,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,673
H,161,151,97,77,74,78,74,75,54,70,66,51,49,48,29,37,29,28,11,14,7,10,14,7,6,3,9,2,9,1,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1349
2B,30,38,11,15,26,18,13,17,21,13,6,12,10,5,6,7,7,6,1,4,3,1,4,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280
3B,5,1,2,2,1,1,1,0,0,3,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
HR,20,25,1,22,15,8,5,20,1,2,3,3,4,8,5,3,3,2,1,1,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158
RBI,98,84,15,58,46,27,37,51,16,15,11,26,19,17,16,24,11,10,6,9,0,10,10,6,1,2,3,1,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,637
TB,261,266,115,162,147,122,104,152,78,95,83,72,73,79,52,55,47,42,15,23,10,14,29,11,6,3,12,3,13,1,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2153
BB,44,70,18,38,22,21,33,26,26,39,37,15,26,15,24,19,15,5,7,7,0,9,1,1,3,0,3,1,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,531
SO,75,106,58,75,81,46,34,85,40,66,31,36,46,49,38,20,27,31,10,20,27,14,19,12,17,17,9,8,7,8,5,4,1,0,1,2,1,1,1,1,0,0,0,0,0,0,1129
SB,25,4,25,3,0,7,1,3,2,11,0,0,1,10,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96
AVG,.276,.322,.240,.223,.239,.254,.258,.267,.211,.275,.263,.210,.213,.267,.209,.270,.264,.267,.162,.212,.113,.179,.259,.149,.130,.079,.281,.091,.429,.063,.250,.091,.250,.667,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.247
OBP,.329,.414,.275,.303,.291,.305,.336,.338,.296,.370,.361,.258,.303,.323,.333,.364,.352,.306,.250,.297,.113,.299,.281,.167,.184,.079,.333,.130,.520,.063,.308,.091,.333,.667,.333,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.318
SLG,.447,.567,.285,.470,.476,.397,.362,.541,.305,.373,.331,.296,.317,.439,.374,.401,.427,.400,.221,.348,.161,.250,.537,.234,.130,.079,.375,.136,.619,.063,.250,.091,.250,.667,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.394
OPS,.776,.981,.559,.773,.767,.703,.699,.879,.601,.743,.692,.554,.620,.762,.707,.766,.779,.706,.471,.646,.274,.549,.818,.401,.314,.158,.708,.267,1.139,.125,.558,.182,.583,1.333,.333,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.712
WAR,2.5,4.6,-0.3,1.1,0.9,0.2,-1.0,0.9,1.0,1.1,0.8,-1.3,-0.5,1.2,-0.7,1.2,0.7,-0.4,-0.2,-0.2,-0.4,0.1,0.8,0.0,0.0,-0.4,-0.1,0.1,0.5,-0.2,0.1,-0.1,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
