Name,Brandon Phillips 2B,Joey Votto 1B,Drew Stubbs CF,Jonny Gomes LF,Jay Bruce LF,Orlando Cabrera SS,Scott Rolen 3B,Ramon Hernandez C,Ryan Michael Hanigan C,Chris Heisey CF,Paul Janish SS,Miguel Cairo 1B,Laynce Nix RF,Corky Miller C,Bronson Arroyo SP,Juan Francisco 3B,Johnny Cueto SP,Mike Leake SP,Chris Dickerson LF *,Chris Valaika 3B,Travis Wood SP,Aaron Harang SP,Homer Bailey SP,Yonder Alonso 1B,Jim Edmonds CF *,Edinson Volquez SP,Willie Bloomquist SS *,Micah Owings RP,Sam LeCure RP,Carlos Fisher RP,Logan Ondrusek RP,Matt Maloney RP,Drew Sutton SS *,Jordan Smith SP,Danny Herrera RP,Francisco Cordero RP,Mike Lincoln RP,Arthur Rhodes RP,Bill Bray RP,Nick Masset RP,Enerio Del Rosario RP *,Aroldis Chapman RP,Russ Springer RP,Jared Burton RP,Total
GP,155,150,150,148,148,123,133,97,70,97,82,91,97,32,34,36,31,28,20,19,17,22,19,22,13,12,11,27,15,18,60,7,2,37,36,75,19,70,35,82,9,15,2,4,162
AB,626,547,514,511,509,494,471,313,203,201,200,200,165,74,68,55,54,48,44,38,37,37,33,29,29,17,17,14,11,4,4,3,3,3,1,1,1,0,0,0,0,0,0,0,5579
R,100,106,91,77,80,64,66,30,25,33,23,30,16,5,5,3,2,5,9,3,1,1,1,2,6,1,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,790
H,172,177,131,136,143,130,134,93,61,51,52,58,48,18,10,15,6,16,9,10,7,5,7,6,6,2,5,3,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1515
2B,33,36,19,24,23,33,34,18,11,10,10,12,11,5,0,3,0,1,1,1,2,1,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293
3B,5,2,6,3,5,0,3,1,0,1,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
HR,18,37,22,18,25,4,20,7,5,8,5,4,4,2,1,1,0,0,0,1,1,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,188
RBI,59,113,77,86,70,42,83,48,40,21,25,28,18,9,8,7,2,3,0,2,3,2,2,3,3,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,761
TB,269,328,228,220,251,175,234,134,87,87,77,82,75,29,13,21,6,17,12,14,14,6,7,8,17,2,5,6,2,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,2432
BB,46,91,55,39,58,28,50,29,33,16,22,17,15,2,2,4,1,5,1,1,0,0,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522
SO,83,125,168,123,136,53,82,49,21,57,30,30,39,16,31,20,22,15,19,9,15,13,15,10,7,7,3,6,2,4,4,1,1,1,1,0,0,0,0,0,0,0,0,0,1218
SB,16,16,30,5,5,11,1,0,0,1,1,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93
AVG,.275,.324,.255,.266,.281,.263,.285,.297,.300,.254,.260,.290,.291,.243,.147,.273,.111,.333,.205,.263,.189,.135,.212,.207,.207,.118,.294,.214,.091,.000,.000,.333,.667,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.272
OBP,.332,.424,.329,.327,.353,.303,.358,.364,.405,.324,.338,.353,.350,.282,.169,.322,.127,.407,.222,.282,.189,.135,.257,.207,.281,.167,.333,.214,.091,.000,.000,.333,.667,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.338
SLG,.430,.600,.444,.431,.493,.354,.497,.428,.429,.433,.385,.410,.455,.392,.191,.382,.111,.354,.273,.368,.378,.162,.212,.276,.586,.118,.294,.429,.182,.000,.000,.333,1.667,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.436
OPS,.762,1.024,.773,.758,.846,.657,.854,.792,.834,.757,.723,.763,.805,.674,.360,.704,.238,.762,.495,.650,.568,.297,.469,.483,.867,.284,.627,.643,.273,.000,.000,.667,2.333,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.774
WAR,3.7,6.7,2.8,-1.1,4.5,0.5,3.9,1.0,2.2,1.0,1.0,0.6,1.3,0.0,0.0,0.0,-0.3,1.2,0.2,0.0,0.2,-0.2,0.2,0.0,-0.1,0.0,-0.1,0.2,0.0,-0.1,-0.1,0.1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
