Name,Brandon Phillips 2B,Drew Stubbs CF,Joey Votto 1B,Jay Bruce LF,Paul Janish SS,Edgar Renteria SS,Ramon Hernandez C,Chris Heisey CF,Ryan Michael Hanigan C,Scott Rolen 3B,Miguel Cairo 1B,Jonny Gomes LF *,Fred Lewis OF,Todd Frazier 3B,Dave Sappelt CF,Juan Francisco 3B,Yonder Alonso 1B,Bronson Arroyo SP,Mike Leake SP,Devin Mesoraco C,Johnny Cueto SP,Homer Bailey SP,Zack Cozart 3B,Dontrelle Willis SP,Travis Wood SP,Edinson Volquez SP,Chris Valaika 3B,Jeremy Hermida RF *,Sam LeCure RP,Matt Maloney RP,Chad Reineke SP,Carlos Fisher RP,Jose Arredondo RP,Jordan Smith SP,Jeremy Horst RP,Daryl Thompson RP,Bill Bray RP,Nick Masset RP,Aroldis Chapman RP,Francisco Cordero RP,Logan Ondrusek RP,Jared Burton RP,Total
GP,150,158,161,157,114,96,91,120,91,65,102,77,81,41,38,31,47,36,38,18,24,23,11,16,26,21,14,10,43,8,2,17,53,17,12,1,79,75,54,68,66,6,162
AB,610,604,599,585,336,299,298,279,266,252,245,218,183,112,107,93,88,57,55,50,47,39,37,31,30,26,25,18,9,4,2,2,2,2,1,1,0,0,0,0,0,0,5612
R,94,92,101,84,27,34,28,44,27,31,33,30,20,17,14,10,9,1,7,5,3,7,6,2,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,735
H,183,147,185,150,72,75,84,71,71,61,65,46,42,26,26,24,29,6,11,9,3,11,12,12,2,3,7,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1438
2B,38,22,40,27,14,14,13,9,6,20,8,8,7,5,8,7,4,2,2,3,0,2,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,264
3B,2,3,3,2,1,0,0,1,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
HR,18,15,29,32,0,5,12,18,6,5,8,11,3,6,0,3,5,0,0,2,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183
RBI,82,44,103,97,23,36,36,50,31,36,33,31,19,15,5,15,15,2,2,6,0,2,3,4,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,697
TB,279,220,318,277,88,104,133,136,95,100,101,87,58,49,34,42,48,8,13,18,3,13,18,20,5,3,10,5,2,0,0,0,1,0,1,0,0,0,0,0,0,0,2289
BB,44,63,110,71,18,24,23,19,35,10,18,38,22,7,7,4,10,1,1,3,2,1,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,535
SO,85,205,129,158,46,65,41,78,32,36,36,74,38,27,17,24,21,27,23,10,11,11,6,4,14,13,3,7,5,0,1,1,1,0,0,1,0,0,0,0,0,0,1250
SB,14,40,8,8,3,4,0,6,0,1,3,5,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
AVG,.300,.243,.309,.256,.214,.251,.282,.254,.267,.242,.265,.211,.230,.232,.243,.258,.330,.105,.200,.180,.064,.282,.324,.387,.067,.115,.280,.111,.111,.000,.000,.000,.500,.000,1.000,.000,.000,.000,.000,.000,.000,.000,.256
OBP,.353,.321,.416,.341,.259,.306,.341,.309,.356,.279,.330,.336,.321,.289,.289,.289,.398,.121,.214,.226,.102,.300,.324,.387,.067,.148,.333,.111,.200,.000,.000,.000,.500,.000,1.000,.000,.000,.000,.000,.000,.000,.000,.326
SLG,.457,.364,.531,.474,.262,.348,.446,.487,.357,.397,.412,.399,.317,.438,.318,.452,.545,.140,.236,.360,.064,.333,.486,.645,.167,.115,.400,.278,.222,.000,.000,.000,.500,.000,1.000,.000,.000,.000,.000,.000,.000,.000,.408
OPS,.810,.686,.947,.814,.521,.654,.788,.797,.714,.676,.742,.735,.638,.727,.607,.740,.943,.261,.451,.586,.166,.633,.811,1.032,.233,.264,.733,.389,.422,.000,.000,.000,1.000,.000,2.000,.000,.000,.000,.000,.000,.000,.000,.734
WAR,4.7,1.6,6.2,1.8,-0.8,0.6,1.1,1.6,1.5,1.5,1.5,0.4,0.5,0.8,0.0,0.1,0.2,-0.3,0.3,-0.3,-0.3,0.3,0.7,0.8,-0.2,-0.1,0.3,-0.3,0.0,-0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
