Name,Brandon Phillips 2B,Zack Cozart 3B,Jay Bruce LF,Drew Stubbs CF,Ryan Ludwick LF,Todd Frazier 3B,Joey Votto 1B,Chris Heisey CF,Ryan Michael Hanigan C,Scott Rolen 3B,Wilson Valdez SS,Devin Mesoraco C,Miguel Cairo 1B,Xavier Paul LF,Homer Bailey SP,Dioner Navarro C,Johnny Cueto SP,Mat Latos SP,Bronson Arroyo SP,Mike Leake SP,Willie Harris LF,Didi Gregorius SS,Mike Costanzo 3B,Henry Rodriguez 2B,Denis Phipps RF,Alfredo Simon SP,Kristopher Negron 3B,Todd Redmond RP,Tony Cingrani RP,Sam LeCure RP,Pedro Villarreal RP,Bill Bray RP,Sean Marshall RP,Jonathan Broxton RP *,Aroldis Chapman RP,J.J. Hoover RP,Jose Arredondo RP,Logan Ondrusek RP,Total
GP,147,138,155,136,125,128,111,120,112,92,77,54,70,55,34,24,33,33,32,35,25,8,17,12,8,36,4,1,3,48,1,14,73,25,68,28,66,63,162
AB,580,561,560,493,422,422,374,347,317,294,194,165,150,86,70,69,67,65,63,61,44,20,18,14,10,4,4,1,1,1,0,0,0,0,0,0,0,0,5477
R,86,72,89,75,53,55,59,44,25,26,15,17,9,8,1,6,3,2,4,8,5,1,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,669
H,163,138,141,105,116,115,126,92,87,72,40,35,28,27,8,20,6,12,9,18,5,6,1,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1377
2B,30,33,35,13,28,26,44,16,14,17,4,8,7,5,1,3,1,1,1,3,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,296
3B,1,4,5,2,1,6,0,5,0,2,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
HR,18,15,34,14,26,19,14,7,2,8,0,5,1,2,0,2,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,172
RBI,77,35,99,40,80,67,56,31,24,39,15,14,13,7,5,12,2,4,3,3,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,636
TB,249,224,288,164,224,210,212,139,107,117,44,58,42,40,9,31,7,16,13,27,9,6,1,4,7,0,1,0,0,0,0,0,0,0,0,0,0,0,2249
BB,28,31,62,42,42,36,94,18,44,30,8,17,4,9,1,2,0,3,1,1,3,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,481
SO,79,113,155,166,97,103,85,81,37,62,36,33,20,18,29,12,24,32,28,20,8,5,10,2,4,2,2,1,1,1,0,0,0,0,0,0,0,0,1266
SB,15,4,9,30,0,3,5,6,0,2,3,1,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87
AVG,.281,.246,.252,.213,.275,.273,.337,.265,.274,.245,.206,.212,.187,.314,.114,.290,.090,.185,.143,.295,.114,.300,.056,.214,.300,.000,.250,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.251
OBP,.321,.288,.327,.277,.346,.331,.474,.315,.365,.318,.236,.288,.212,.379,.127,.306,.090,.229,.154,.306,.170,.300,.095,.313,.364,.000,.400,.000,.000,.500,.000,.000,.000,.000,.000,.000,.000,.000,.315
SLG,.429,.399,.514,.333,.531,.498,.567,.401,.338,.398,.227,.352,.280,.465,.129,.449,.104,.246,.206,.443,.205,.300,.056,.286,.700,.000,.250,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.411
OPS,.750,.687,.841,.610,.877,.829,1.041,.715,.703,.716,.463,.640,.492,.844,.255,.755,.194,.475,.360,.749,.375,.600,.151,.598,1.064,.000,.650,.000,.000,.500,.000,.000,.000,.000,.000,.000,.000,.000,.726
WAR,3.5,2.3,1.4,-0.2,1.7,1.9,5.6,-0.3,1.7,0.3,-1.8,-0.5,-1.4,0.2,-0.3,0.2,-0.4,0.4,0.0,1.0,-0.6,0.1,-0.6,0.0,0.0,-0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
