Name,Jay Bruce LF,Brandon Phillips 2B,Joey Votto 1B,Shin-Soo Choo LF,Zack Cozart 3B,Todd Frazier 3B,Devin Mesoraco C,Chris Heisey CF,Ryan Michael Hanigan C,Xavier Paul LF,Derrick Robinson LF,Jack Hannahan 3B,Ryan Ludwick LF,Cesar Izturis SS,Mat Latos SP,Mike Leake SP,Bronson Arroyo SP,Donald Lutz 1B,Homer Bailey SP,Corky Miller C,Tony Cingrani RP,Johnny Cueto SP,Billy Hamilton CF,Neftali Soto C,Henry Rodriguez 2B,Alfredo Simon SP,Greg Reynolds SP,Manny Parra RP,Zach Duke RP *,Curtis Partch RP,Pedro Villarreal RP,Aroldis Chapman RP,Justin Freeman RP,Sean Marshall RP,Sam LeCure RP,Nick Christiani RP,Jonathan Broxton RP,J.J. Hoover RP,Logan Ondrusek RP,Total
GP,160,151,162,154,151,150,103,87,75,97,102,83,38,63,32,31,32,34,32,17,24,11,13,13,9,63,6,57,14,14,2,68,1,16,63,3,34,69,52,162
AB,626,606,581,569,567,531,323,224,222,209,192,139,129,129,71,63,59,58,58,35,28,20,19,12,9,7,7,2,1,1,1,1,0,0,0,0,0,0,0,5499
R,89,80,101,107,74,63,31,29,17,24,21,12,7,6,3,8,0,5,3,2,4,1,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,698
H,164,158,177,162,144,124,77,53,44,51,49,30,31,27,9,12,4,14,9,9,7,3,7,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1370
2B,43,24,30,34,30,29,13,11,8,12,7,5,5,8,2,2,0,1,1,5,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,274
3B,1,2,3,2,3,3,0,1,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
HR,30,18,24,21,12,19,9,9,2,7,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155
RBI,109,103,73,54,63,73,42,23,21,32,8,14,12,11,4,2,0,8,1,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,664
TB,299,240,285,263,216,216,117,93,58,84,62,40,42,35,11,16,4,18,10,14,8,3,9,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,2149
BB,63,39,135,112,26,50,24,9,29,27,18,19,10,9,1,2,0,1,3,5,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585
SO,185,98,138,133,102,125,61,51,27,53,44,38,29,13,28,19,26,14,18,6,9,5,4,6,4,4,4,0,0,0,0,1,0,0,0,0,0,0,0,1245
SB,7,5,6,20,0,6,0,3,0,0,4,0,0,0,0,0,0,2,0,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67
AVG,.262,.261,.305,.285,.254,.234,.238,.237,.198,.244,.255,.216,.240,.209,.127,.190,.068,.241,.155,.257,.250,.150,.368,.000,.111,.143,.143,.500,1.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.249
OBP,.329,.310,.435,.423,.284,.314,.287,.279,.306,.339,.322,.317,.293,.259,.139,.215,.068,.254,.210,.366,.250,.150,.429,.077,.200,.143,.143,.500,1.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.327
SLG,.478,.396,.491,.462,.381,.407,.362,.415,.261,.402,.323,.288,.326,.271,.155,.254,.068,.310,.172,.400,.286,.150,.474,.000,.111,.143,.286,.500,1.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.391
OPS,.807,.706,.926,.885,.665,.721,.649,.694,.567,.741,.645,.605,.618,.530,.294,.469,.136,.565,.382,.766,.536,.300,.902,.077,.311,.286,.429,1.000,2.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.718
WAR,5.1,1.7,6.4,4.2,1.6,2.7,0.0,0.6,-0.3,-0.8,0.7,-0.4,-1.0,0.4,-0.2,0.2,-0.6,-0.1,0.0,0.5,0.3,-0.1,0.7,-0.3,-0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
