Name,Todd Frazier 3B,Billy Hamilton CF,Zack Cozart 3B,Jay Bruce LF,Brandon Phillips 2B,Devin Mesoraco C,Ryan Ludwick LF,Brayan Pena C,Chris Heisey CF,Skip Schumaker 2B,Joey Votto 1B,Ramon Santiago 3B,Kristopher Negron 3B,Mike Leake SP,Johnny Cueto SP,Alfredo Simon SP,Roger Bernadina LF *,Tucker Barnhart C,Donald Lutz 1B,Jack Hannahan 3B,Homer Bailey SP,Jason Bourgeois CF,Neftali Soto C,Mat Latos SP,Yorman Rodriguez CF,Tony Cingrani RP,Jake Elmore SS,David A. Holmberg P,Dylan Davis Axelrod SP,Logan Ondrusek RP,Daniel Corcino RP,Pedro Villarreal RP,Jeff Francis RP *,Carlos Contreras RP,Nick Christiani RP,Curtis Partch RP,Jumbo Rafael Diaz RP,Ryan Dennick RP,Sean Marshall RP,Manny Parra RP,Sam LeCure RP,Jonathan Broxton RP *,Trevor Bell RP,Aroldis Chapman RP,J.J. Hoover RP,Total
GP,157,152,147,137,121,114,112,115,119,83,62,75,49,40,34,32,44,21,28,26,23,18,21,16,11,13,5,7,5,40,5,12,1,17,10,6,36,8,15,53,62,51,2,54,54,162
AB,597,563,506,493,462,384,357,348,275,247,220,179,144,68,68,59,59,54,51,48,41,33,30,30,27,21,11,5,4,3,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,5395
R,88,72,48,71,44,54,28,23,34,22,32,20,19,9,3,2,3,3,2,3,3,5,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,595
H,163,141,112,107,123,105,87,88,61,58,56,44,39,12,9,7,9,10,9,9,6,8,3,3,6,3,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1282
2B,22,25,18,21,25,25,20,18,15,12,16,8,10,5,0,3,3,0,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254
3B,1,8,5,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
HR,29,6,4,18,8,25,9,5,8,2,6,2,6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131
RBI,80,48,38,66,51,80,45,26,22,22,23,17,17,5,3,2,5,1,1,2,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562
TB,274,200,152,184,172,205,134,123,104,76,90,58,69,23,9,10,12,13,13,12,6,10,4,3,6,3,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1969
BB,52,34,25,44,23,41,31,20,15,18,47,24,12,0,2,1,10,4,3,2,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,415
SO,139,117,79,149,74,103,94,42,64,50,49,38,40,34,20,21,16,10,19,17,18,6,8,12,12,5,4,2,4,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1252
SB,20,56,7,12,2,1,0,2,9,2,1,2,5,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122
AVG,.273,.250,.221,.217,.266,.273,.244,.253,.222,.235,.255,.246,.271,.176,.132,.119,.153,.185,.176,.188,.146,.242,.100,.100,.222,.143,.182,.000,.000,.000,.333,.500,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.238
OBP,.336,.292,.268,.281,.306,.359,.308,.291,.265,.287,.390,.343,.331,.188,.157,.133,.286,.241,.222,.220,.186,.265,.097,.129,.276,.143,.250,.000,.000,.000,.333,.500,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,1.000,.296
SLG,.459,.355,.300,.373,.372,.534,.375,.353,.378,.308,.409,.324,.479,.338,.132,.169,.203,.241,.255,.250,.146,.303,.133,.100,.222,.143,.182,.000,.000,.000,.333,.500,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.365
OPS,.795,.648,.568,.654,.678,.893,.683,.645,.643,.595,.799,.667,.810,.527,.289,.303,.489,.482,.477,.470,.332,.568,.230,.229,.498,.286,.432,.000,.000,.000,.667,1.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,1.000,.661
WAR,5.3,2.6,2.4,-1.1,1.7,4.8,-0.5,-0.5,1.0,-1.1,1.9,0.6,2.1,0.7,0.0,-0.1,-0.4,0.2,-0.4,-0.4,0.1,0.3,-0.3,-0.1,-0.2,0.0,-0.2,-0.1,-0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,
