Name,Todd Frazier 3B,Brandon Phillips 2B,Jay Bruce LF,Joey Votto 1B,Billy Hamilton CF,Eugenio Suarez 3B,Marlon Byrd RF *,Brayan Pena C,Skip Schumaker 2B,Tucker Barnhart C,Ivan De Jesus Jr. 2B,Jason Bourgeois CF,Zack Cozart 3B,Kristopher Negron 3B,Brennan Boesch RF,Adam Duvall LF,Anthony DeSclafani SP,Mike Leake SP *,Devin Mesoraco C,Johnny Cueto SP *,Michael Lorenzen RP,Raisel Iglesias RP,Ramon Salvador Cabrera C,Ryan LaMarre CF,Chris Dominguez 3B,John Lamb SP,Jason Marquis SP,Keyvius Sampson SP,Tyler Holt CF *,Josh A. Smith RP,David A. Holmberg P,Pedro Villarreal RP,Jon Moscot SP,Brandon Finnegan SP *,Homer Bailey SP,Tony Cingrani RP,Dylan Davis Axelrod SP,Burke Badenhop RP,Collin Balester RP,Kyle Waldrop LF,Donovan Hand RP,Sam LeCure RP,Aroldis Chapman RP,Kevin Gregg RP,Ryan Mattheus RP *,Jumbo Rafael Diaz RP,Manny Parra RP,Nate Adcock RP,J.J. Hoover RP,Carlos Contreras RP,Total
GP,157,148,157,158,114,97,96,108,131,81,76,68,53,43,51,27,31,25,23,19,33,18,13,21,14,10,10,13,5,10,6,29,3,6,2,35,6,68,15,1,1,19,65,11,57,61,40,13,67,22,162
AB,619,588,580,545,412,372,359,333,244,242,201,196,194,93,89,64,58,52,45,37,36,30,30,25,23,16,16,16,11,9,8,6,4,4,4,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,5571
R,82,69,72,95,56,42,46,17,23,23,15,28,28,5,4,6,1,3,2,1,4,0,4,2,2,0,2,1,2,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,640
H,158,173,131,171,93,104,85,91,59,61,49,47,50,13,13,14,9,7,8,6,9,2,11,2,6,1,3,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1382
2B,43,19,35,33,8,19,13,17,20,9,10,5,10,2,2,2,1,3,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257
3B,1,2,4,2,3,2,3,0,0,0,2,2,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
HR,35,12,26,29,4,13,19,0,1,3,4,3,9,0,1,5,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167
RBI,89,70,87,80,28,48,42,18,21,18,28,14,28,2,5,9,3,5,2,0,4,1,3,0,3,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613
TB,308,232,252,295,119,166,161,108,82,79,75,65,89,15,18,31,10,13,11,6,11,4,15,2,12,2,4,0,1,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2194
BB,44,27,58,143,28,17,23,29,23,25,19,14,14,9,4,6,3,0,5,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496
SO,137,68,145,135,75,94,101,34,51,45,55,33,29,23,30,26,33,25,9,10,13,13,5,9,12,8,4,11,2,4,5,3,2,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1255
SB,13,23,9,11,57,4,2,2,2,0,0,3,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134
AVG,.255,.294,.226,.314,.226,.280,.237,.273,.242,.252,.244,.240,.258,.140,.146,.219,.155,.135,.178,.162,.250,.067,.367,.080,.261,.063,.188,.000,.091,.222,.125,.167,.250,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.248
OBP,.309,.328,.294,.459,.274,.315,.286,.334,.306,.324,.311,.294,.310,.238,.191,.306,.194,.135,.275,.184,.270,.067,.367,.080,.261,.063,.188,.000,.231,.222,.364,.167,.250,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.312
SLG,.498,.395,.434,.541,.289,.446,.448,.324,.336,.326,.373,.332,.459,.161,.202,.484,.172,.250,.244,.162,.306,.133,.500,.080,.522,.125,.250,.000,.091,.444,.125,.333,.250,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.394
OPS,.806,.723,.729,1.000,.563,.761,.735,.659,.642,.650,.684,.625,.769,.399,.394,.790,.366,.385,.519,.346,.576,.200,.867,.160,.783,.188,.438,.000,.322,.667,.489,.500,.500,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.706
WAR,4.0,3.5,0.8,7.6,1.0,0.8,0.9,0.4,-0.8,0.1,-0.6,-0.5,2.0,-0.5,-1.3,0.1,0.1,0.1,-0.3,0.0,0.4,-0.2,0.5,-0.5,0.1,-0.1,0.1,-0.1,-0.1,0.1,0.1,0.1,0.0,-0.1,-0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
