Name,Eugenio Suarez 3B,Joey Votto 1B,Adam Duvall LF,Brandon Phillips 2B,Zack Cozart 3B,Billy Hamilton CF,Tucker Barnhart C,Jay Bruce LF *,Scott Schebler RF,Jose Peraza 2B,Ivan De Jesus Jr. 2B,Tyler Holt CF,Ramon Salvador Cabrera C,Tony Renda 3B,Brandon Finnegan SP,Dan Straily SP,Jordan Patrick Pacheco C,Steve Selsky RF,Devin Mesoraco C,Hernan Iribarren 2B,Anthony DeSclafani SP,Kyle Waldrop LF,Timothy Adleman SP,John Lamb SP,Alfredo Simon SP,Josh A. Smith RP,Cody Reed RP,Raisel Iglesias RP,Robert Stephenson RP,Homer Bailey SP,Raffy Lopez C,Keyvius Sampson SP,Daniel Wright RP *,Michael Lorenzen RP,Patrick Kivlehan RF *,Jon Moscot SP,Blake Wood RP,Tim Melville SP,Jumbo Rafael Diaz RP,Drew Hayes RP,A.J. Morris RP,Tony Cingrani RP,Abel De Los Santos RP,Dayan Diaz RP,Ross Ohlendorf RP,Matt Magill RP,Steve Delabar RP,Layne R. Somsen RP,J.J. Hoover RP,Wandy Peralta RP,JC Ramirez SP *,Caleb Cotham P,Total
GP,159,158,150,141,121,119,115,97,82,72,104,106,61,32,33,34,31,24,16,24,20,15,13,14,15,33,10,37,8,6,8,18,4,36,3,5,70,3,45,6,7,65,5,6,64,5,7,2,18,10,27,23,162
AB,565,556,552,550,464,411,377,370,257,241,221,179,171,60,53,52,51,51,50,45,41,22,21,20,14,11,11,11,10,10,7,7,5,5,5,4,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5487
R,78,101,85,74,67,69,34,60,36,25,21,21,11,4,4,2,1,9,2,6,0,1,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,716
H,140,181,133,160,117,107,97,98,68,78,56,42,42,11,6,1,8,16,7,14,5,5,4,1,1,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1403
2B,25,34,31,34,28,19,23,22,12,8,10,5,10,2,2,0,4,2,1,0,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277
3B,2,2,6,1,2,3,1,6,2,2,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
HR,21,29,33,11,16,3,7,25,9,3,1,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164
RBI,70,97,103,64,50,17,51,80,40,25,20,13,23,3,2,1,0,7,1,2,1,1,3,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,678
TB,232,306,275,229,197,141,143,207,111,99,69,53,61,13,8,1,12,24,8,20,6,6,6,1,1,3,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2238
BB,51,108,41,18,37,36,36,27,19,7,17,23,8,5,3,2,0,2,5,0,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,452
SO,155,120,164,68,84,93,72,83,59,33,51,48,30,11,18,40,14,22,10,11,22,5,11,12,7,4,6,2,5,1,3,6,2,2,2,3,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1284
SB,11,8,6,14,4,58,1,4,2,21,3,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139
AVG,.248,.326,.241,.291,.252,.260,.257,.265,.265,.324,.253,.235,.246,.183,.113,.019,.157,.314,.140,.311,.122,.227,.190,.050,.071,.182,.000,.091,.000,.100,.000,.000,.000,.200,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.256
OBP,.317,.434,.297,.320,.308,.321,.323,.316,.330,.352,.311,.327,.279,.246,.161,.056,.157,.340,.218,.311,.143,.261,.190,.095,.188,.182,.083,.091,.000,.182,.000,.000,.000,.200,.000,.200,.000,.000,.000,.000,.000,1.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.316
SLG,.411,.550,.498,.416,.425,.343,.379,.559,.432,.411,.312,.296,.357,.217,.151,.019,.235,.471,.160,.444,.146,.273,.286,.050,.071,.273,.000,.091,.000,.100,.000,.000,.000,.800,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.408
OPS,.728,.985,.795,.736,.732,.664,.702,.875,.762,.762,.623,.623,.635,.463,.312,.075,.392,.810,.378,.756,.289,.534,.476,.145,.259,.455,.083,.182,.000,.282,.000,.000,.000,1.000,.000,.200,.000,.000,.000,.000,.000,1.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.724
WAR,1.5,4.0,3.2,0.8,2.0,2.8,0.7,0.6,0.5,0.1,0.0,-1.0,0.1,-0.4,-0.1,-0.5,-0.6,0.1,-0.2,0.2,-0.1,-0.2,0.2,-0.2,0.1,0.1,-0.1,0.0,-0.2,0.0,-0.2,-0.1,-0.1,0.1,-0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
