Name,Adam Duvall LF,Billy Hamilton CF,Joey Votto 1B,Eugenio Suarez 3B,Jose Peraza 2B,Scott Schebler RF,Scooter Gennett 2B,Zack Cozart 3B,Tucker Barnhart C,Patrick Kivlehan RF,Devin Mesoraco C,Jesse Winker RF,Arismendy Alcantara CF,Stuart Turner C,Phillip Ervin RF,Scott Feldman SP,Timothy Adleman SP,Luis Castillo SP,Homer Bailey SP,Bronson Arroyo SP,Sal Romano SP,Robert Stephenson RP,Amir Garrett RP,Asher Wojciechowski SP,Michael Lorenzen RP,Chad Wallach C,Zach Vincej SS,Tyler Mahle SP,Jackson Stephens RP,Rookie Davis SP,Lisalverto Bonilla RP,Brandon Finnegan SP,Austin Brice RP,Deck McGuire SP,Kevin Shackelford RP,Cody Reed RP,Ariel Hernandez RP,Jake Buchanan SP,Drew Storen SP,Barrett Astin RP,Raisel Iglesias RP,Blake Wood RP *,Wandy Peralta RP,Tony Cingrani RP *,Alejandro Chacin RP,Keury Mella RP,Luke Farrell RP *,Total
GP,157,139,162,156,143,141,141,122,121,115,56,47,70,37,28,21,30,15,18,15,16,26,16,25,73,6,9,4,7,7,10,5,22,6,26,12,19,5,58,6,63,55,69,25,6,2,9,162
AB,587,582,559,534,487,473,461,438,370,178,141,121,105,82,58,34,29,29,28,26,24,23,19,14,12,11,9,7,6,6,6,5,4,3,3,2,2,2,1,1,1,1,0,0,0,0,0,5484
R,78,85,106,87,50,63,80,80,26,23,17,21,13,4,8,0,0,0,4,0,0,1,1,0,1,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,753
H,146,144,179,139,126,110,136,130,100,37,30,36,18,11,15,1,3,2,7,4,1,1,1,1,2,1,1,1,2,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1390
2B,37,17,34,25,9,25,22,24,24,5,5,7,3,3,2,0,1,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,249
3B,3,11,1,2,4,2,3,7,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
HR,31,4,36,26,5,30,27,24,7,9,6,7,1,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219
RBI,99,38,100,82,37,67,97,63,44,26,14,15,7,7,10,0,2,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,715
TB,282,195,323,246,158,229,245,240,149,71,55,64,26,20,26,1,4,2,9,4,2,1,2,1,5,1,1,1,2,2,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,2372
BB,39,44,134,84,20,39,30,62,42,22,18,15,2,5,4,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,565
SO,170,133,83,147,70,125,114,78,68,61,38,24,38,22,15,16,10,11,11,10,15,15,6,11,5,5,5,2,2,5,3,1,2,1,1,2,1,1,0,1,0,1,0,0,0,0,0,1329
SB,5,59,5,4,23,5,3,3,4,1,1,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120
AVG,.249,.247,.320,.260,.259,.233,.295,.297,.270,.208,.213,.298,.171,.134,.259,.029,.103,.069,.250,.154,.042,.043,.053,.071,.167,.091,.111,.143,.333,.167,.167,.000,.000,.000,.333,.000,.000,.500,.000,.000,1.000,.000,.000,.000,.000,.000,.000,.253
OBP,.301,.299,.454,.367,.297,.307,.342,.385,.347,.304,.321,.375,.187,.182,.317,.029,.103,.100,.250,.154,.080,.043,.053,.071,.167,.091,.333,.250,.333,.286,.375,.000,.000,.000,.333,.000,.000,.667,.000,.000,1.000,.000,.000,.000,.000,.000,.000,.329
SLG,.480,.335,.578,.461,.324,.484,.531,.548,.403,.399,.390,.529,.248,.244,.448,.029,.138,.069,.321,.154,.083,.043,.105,.071,.417,.091,.111,.143,.333,.333,.167,.000,.000,.000,.333,.000,.000,.500,.000,.000,2.000,.000,.000,.000,.000,.000,.000,.433
OPS,.782,.634,1.032,.828,.622,.791,.874,.933,.750,.703,.711,.904,.435,.426,.766,.059,.241,.169,.571,.308,.163,.087,.158,.143,.583,.182,.444,.393,.667,.619,.542,.000,.000,.000,.667,.000,.000,1.167,.000,.000,3.000,.000,.000,.000,.000,.000,.000,.761
WAR,1.8,1.0,7.5,3.7,-0.7,1.2,2.4,4.9,3.4,0.2,0.1,0.5,-0.6,-1.2,0.1,-0.4,-0.1,-0.2,0.2,0.0,-0.2,-0.2,-0.3,-0.1,0.1,-0.2,-0.1,0.0,0.1,0.1,0.1,-0.1,-0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,
