Name,Jose Peraza 2B,Scooter Gennett 2B,Eugenio Suarez 3B,Billy Hamilton CF,Joey Votto 1B,Tucker Barnhart C,Scott Schebler RF,Adam Duvall LF *,Jesse Winker RF,Phillip Ervin RF,Curt Casali C,Alex Blandino SS,Mason Williams CF,Brandon Dixon 1B,Dilson Herrera 2B,Luis Castillo SP,Matt Harvey SP *,Anthony DeSclafani SP,Devin Mesoraco C *,Preston Tucker RF *,Sal Romano SP,Michael Lorenzen RP,Cliff Pennington SS,Tyler Mahle SP,Tony Cruz C,Homer Bailey SP,Phil Gosselin 2B,Gabriel Guerrero RF,Blake Trahan SS,Rosell Herrera RF *,Cody Reed RP,Brandon Finnegan SP,Tim Federowicz C *,Dylan Floro RP,Raisel Iglesias RP,Robert Stephenson RP,Keury Mella RP,Jackson Stephens RP,Amir Garrett RP,Lucas Sims SP *,Wandy Peralta RP,Kevin Shackelford RP,David Hernandez RP,Austin Brice RP,Aristides Aquino LF,Total
GP,157,154,143,153,145,138,107,105,89,78,52,69,51,74,53,30,24,20,18,17,35,54,16,21,9,19,20,14,11,11,17,5,5,24,62,4,4,28,60,3,56,4,53,32,1,162
AB,632,584,527,504,503,460,380,331,281,218,140,128,123,118,87,59,46,42,41,37,36,31,29,29,26,26,24,18,14,13,11,7,6,4,3,2,2,2,2,1,1,1,1,1,1,5532
R,85,86,79,74,67,50,55,40,38,27,15,14,10,14,11,4,1,3,1,4,1,5,1,0,2,0,5,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,696
H,182,181,149,119,143,114,97,68,84,55,41,30,36,21,16,6,2,6,9,7,2,9,4,3,4,3,3,3,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1404
2B,31,30,22,16,28,21,19,19,16,10,10,4,5,6,5,1,0,0,2,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,251
3B,4,3,2,9,2,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
HR,14,23,34,4,12,10,17,15,7,7,4,1,2,5,5,0,0,1,1,2,0,4,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,172
RBI,58,92,104,29,67,46,49,61,43,31,16,8,6,10,11,2,1,4,3,5,2,10,0,0,2,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,665
TB,263,286,277,165,211,171,167,132,121,88,63,37,49,42,36,7,2,9,14,14,3,22,4,4,8,3,6,6,3,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,2221
BB,29,42,64,46,108,54,39,34,49,20,12,13,7,6,8,2,2,0,2,4,0,2,5,2,0,1,4,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,559
SO,75,125,142,132,101,96,99,100,46,60,32,41,29,43,39,23,17,25,10,9,24,9,13,10,11,13,8,8,4,5,10,1,3,2,1,1,2,1,1,1,1,1,0,1,1,1376
SB,23,4,1,34,2,0,4,2,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
AVG,.288,.310,.283,.236,.284,.248,.255,.205,.299,.252,.293,.234,.293,.178,.184,.102,.043,.143,.220,.189,.056,.290,.138,.103,.154,.115,.125,.167,.214,.154,.000,.000,.333,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.254
OBP,.326,.357,.366,.299,.417,.328,.337,.286,.405,.324,.355,.324,.331,.218,.268,.131,.083,.143,.289,.286,.056,.333,.265,.161,.154,.148,.250,.167,.214,.154,.083,.000,.429,.000,.000,.333,.000,.333,.000,.000,.000,.000,.000,.000,.000,.328
SLG,.416,.490,.526,.327,.419,.372,.439,.399,.431,.404,.450,.289,.398,.356,.414,.119,.043,.214,.341,.378,.083,.710,.138,.138,.308,.115,.250,.333,.214,.154,.000,.000,1.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.000,.401
OPS,.742,.847,.892,.626,.837,.699,.777,.685,.836,.728,.805,.613,.729,.574,.682,.250,.127,.357,.630,.664,.139,1.043,.403,.299,.462,.264,.500,.500,.429,.308,.083,.000,1.429,.000,.000,.333,.000,.333,.000,.000,.000,.000,.000,.000,.000,.729
WAR,2.3,4.2,4.2,0.3,3.5,0.9,1.1,1.4,-0.1,-0.4,0.9,0.3,0.1,-0.7,-0.2,0.0,-0.3,0.1,-0.1,-0.3,-0.3,0.7,-0.4,0.0,-0.2,-0.1,-0.2,-0.3,-0.1,-0.1,-0.1,-0.1,0.2,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,
