Name,GP,AB,R,H,2B,3B,HR,RBI,TB,BB,SO,SB,AVG,OBP,SLG,OPS,WAR
Charlie Blackmon RF,159,644,137,213,35,14,37,104,387,65,135,14,.331,.399,.601,1.000,6.0
DJ LeMahieu 2B,155,609,95,189,28,4,8,64,249,59,90,6,.310,.374,.409,.783,2.9
Nolan Arenado 3B,159,606,100,187,43,7,37,130,355,62,106,3,.309,.373,.586,.959,7.2
Mark Reynolds 1B,148,520,82,139,22,1,30,97,253,69,175,2,.267,.352,.487,.839,0.9
Trevor Story SS,145,503,68,120,32,3,24,82,230,49,191,7,.239,.308,.457,.765,2.6
Carlos Gonzalez RF,136,470,72,123,34,0,14,57,199,56,119,3,.262,.339,.423,.762,-0.2
Gerardo Parra CF,115,392,56,121,24,1,10,71,177,20,67,2,.309,.341,.452,.793,0.9
Ian Desmond CF,95,339,47,93,11,1,7,40,127,24,87,15,.274,.326,.375,.701,-1.1
Tony Wolters C,83,229,30,55,8,1,0,16,65,33,55,0,.240,.341,.284,.625,-0.3
Pat Valaika 3B,110,182,28,47,11,0,13,40,97,7,53,0,.258,.284,.533,.817,0.4
Alexi Amarista SS,96,168,22,40,10,0,3,19,59,7,38,1,.238,.269,.351,.620,-1.4
Raimel Tapia LF,70,160,27,46,12,2,2,16,68,8,36,5,.288,.329,.425,.754,-0.7
Jonathan Lucroy C *,46,142,18,44,6,3,2,13,62,27,19,0,.310,.429,.437,.865,0.9
Ryan Michael Hanigan C,33,101,9,27,2,0,2,12,35,8,26,0,.267,.324,.347,.671,0.0
Dustin Garneau C *,22,68,5,14,7,0,1,6,24,4,24,0,.206,.260,.353,.613,0.1
Kyle Freeland SP,35,52,3,8,1,0,1,2,12,1,30,0,.154,.170,.231,.401,0.1
German Marquez SP,29,45,4,8,2,0,0,5,10,0,18,0,.178,.178,.222,.400,0.0
Tyler Chatwood RP,35,39,5,6,1,0,0,2,7,1,9,0,.154,.175,.179,.354,0.0
Jon Gray SP,20,38,3,3,0,0,1,3,6,1,27,0,.079,.103,.158,.260,-0.2
Jeff Hoffman SP,23,33,1,3,1,0,0,1,4,0,17,0,.091,.091,.121,.212,-0.2
Antonio Senzatela SP,36,32,1,4,1,0,0,5,5,0,20,0,.125,.125,.156,.281,-0.1
Stephen Cardullo 2B,15,28,2,4,0,0,0,3,4,3,7,0,.143,.250,.143,.393,-0.1
Mike Tauchman CF,31,27,2,6,0,1,0,2,8,5,10,1,.222,.344,.296,.640,-0.3
Tyler Anderson SP,17,26,1,1,0,0,0,0,1,1,17,0,.038,.074,.038,.113,-0.3
Tom Murphy C,12,24,1,1,1,0,0,1,2,2,9,0,.042,.115,.083,.199,-0.4
Ryan McMahon 2B,17,19,2,3,1,0,0,1,4,5,5,0,.158,.333,.211,.544,-0.1
Cristhian Adames SS,12,13,1,0,0,0,0,0,0,1,6,0,.000,.071,.000,.071,-0.4
Chad Bettis RP,9,11,1,1,0,0,0,1,1,1,6,0,.091,.167,.091,.258,0.1
Chris Rusin RP,60,9,1,3,0,0,0,0,3,0,3,0,.333,.333,.333,.667,0.1
Jordan Lyles SP *,33,5,0,1,0,0,0,0,1,0,3,0,.200,.200,.200,.400,0.0
Mike Dunn RP,68,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Pat Neshek RP *,28,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Adam Ottavino RP,63,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Chad Qualls RP,19,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Jairo Diaz RP,4,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Jake McGee RP,62,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Greg Holland RP,61,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Scott Oberg RP,66,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Carlos Estevez RP,35,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Zac Rosscup RP *,9,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Shane Carle RP,3,0,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0.0
Total,162,5534,824,1510,293,38,192,793,2455,519,1408,59,.273,.338,.444,.781,
